	BACasv1	BACasv2	BACasv3	BACasv4	BACasv5	BACasv6	BACasv8	BACasv9	BACasv10	BACasv11	BACasv12	BACasv13	BACasv15	BACasv16	BACasv17	BACasv18	BACasv19	BACasv21	BACasv22	BACasv25	BACasv26	BACasv27	BACasv28	BACasv29	BACasv30	BACasv31	BACasv32	BACasv33	BACasv36	BACasv37	BACasv39	BACasv41	BACasv42	BACasv43	BACasv44	BACasv46	BACasv47	BACasv49	BACasv54	BACasv59	BACasv66	BACasv67	BACasv70	BACasv73	BACasv84	BACasv86	BACasv89	BACasv90	BACasv91	BACasv92	BACasv96	BACasv100	BACasv101	BACasv102	BACasv103	BACasv113	BACasv114	BACasv124	BACasv125	BACasv126	BACasv128	BACasv129	BACasv131	BACasv132	BACasv134	BACasv139	BACasv141	BACasv142	BACasv145	BACasv148	BACasv152	BACasv156	BACasv157	BACasv160	BACasv164	BACasv167	BACasv176	BACasv178	BACasv181	BACasv183	BACasv186	BACasv187	BACasv188	BACasv192	BACasv193	BACasv194	BACasv199	BACasv205	BACasv206	BACasv209	BACasv211	BACasv213	BACasv219	BACasv222	BACasv231	BACasv235	BACasv237	BACasv240	BACasv242	BACasv245	BACasv247	BACasv252	BACasv253	BACasv267	BACasv283	BACasv285	BACasv287	BACasv288	BACasv290	BACasv293	BACasv296	BACasv301	BACasv311	BACasv315	BACasv319	BACasv323	BACasv324	BACasv325	BACasv330	BACasv336	BACasv343	BACasv348	BACasv351	BACasv352	BACasv358	BACasv366	BACasv374	BACasv387	BACasv388	BACasv393	BACasv397	BACasv403	BACasv409	BACasv410	BACasv411	BACasv417	BACasv419	BACasv425	BACasv429	BACasv430	BACasv439	BACasv440	BACasv442	BACasv449	BACasv450	BACasv459	BACasv466	BACasv467	BACasv472	BACasv482	BACasv483	BACasv484	BACasv492	BACasv493	BACasv494	BACasv495	BACasv511	BACasv517	BACasv521	BACasv528	BACasv529	BACasv530	BACasv532	BACasv539	BACasv546	BACasv548	BACasv560	BACasv562	BACasv575	BACasv576	BACasv577	BACasv587	BACasv605	BACasv608	BACasv609	BACasv611	BACasv633	BACasv635	BACasv637	BACasv645	BACasv649	BACasv650	BACasv669	BACasv672	BACasv682	BACasv686	BACasv729	BACasv749	BACasv770	BACasv773	BACasv775	BACasv792	BACasv793	BACasv823	BACasv824	BACasv830	BACasv831	BACasv898	BACasv928	BACasv929	BACasv931	BACasv966	BACasv969
BACasv70	0	0	0	0.738095238095238	0	0	0	0	0.714285714285714	0	0	0.904761904761905	0	-0.829515062006253	0	0	0	0	0	0.785714285714286	0	0	-0.785714285714286	0	0	0.80952380952381	-0.761904761904762	0	0	0	0	-0.722968462440373	0	0	-0.902707567477393	0	0	0	0	0	0	0	0	0	0	0	0.714285714285714	0	0	0	0.80952380952381	0	0	-0.7319250547114	-0.952380952380952	0	0	-0.7319250547114	0	0	0.714285714285714	0	0	0	0	0	-0.780720058358827	-0.904761904761905	0	0	0	0	0	0	0	-0.756322556535113	0	0	0	0	-0.79907040585515	0	0	-0.735652119676169	-0.849805034798334	0	-0.79907040585515	0	0	-0.849805034798334	0	0	-0.79907040585515	0	0	-0.853912563829967	-0.849805034798334	0	0	0	0	0	0	0	0	0	0	0	0	-0.79907040585515	-0.79907040585515	0	0	0	0	-0.79907040585515	0	0	0	0	-0.79907040585515	0	-0.773703091383558	-0.811754063090946	0	-0.849805034798334	0	-0.773703091383558	0	-0.849805034798334	-0.849805034798334	0	0	0	-0.722968462440373	0	0	0	0	0	-0.79907040585515	-0.780720058358827	0	-0.79907040585515	-0.773703091383558	-0.79907040585515	0	0	0	0	0	0	0	0	0	0	-0.756322556535113	0	-0.763762615825973	0	-0.79907040585515	-0.773703091383558	0	0	0	0	0	0	0	0	-0.79907040585515	0	0	-0.791039852105472	0	0	0	0	0	0	0	-0.748335776911965	0	0	0	0	-0.791039852105472	-0.773703091383558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv73	0	0.904761904761905	0	0.761904761904762	0	0.714285714285714	-0.785714285714286	-0.928571428571429	0.761904761904762	0	0.778457070243618	0.714285714285714	0	-0.853912563829967	-0.880952380952381	0	0.738095238095238	0.857142857142857	0	0.761904761904762	0	0	-0.880952380952381	0	0	0	0	0	0.904761904761905	0	-0.785714285714286	0	0	-0.79907040585515	-0.780720058358827	-0.928571428571429	0	0	0	-0.849805034798334	0	0.80952380952381	0	0	0	0	0.857142857142857	0.904761904761905	0.80952380952381	0.80952380952381	0	0	0.880952380952381	-0.780720058358827	-0.80952380952381	0	0.714285714285714	0	-0.80952380952381	0	0.761904761904762	0	-0.934148484292342	-0.849805034798334	0	0	-0.853912563829967	-0.857142857142857	-0.904761904761905	0.833333333333333	-0.709208143266975	-0.7319250547114	0	0	0	0	0.857142857142857	0	-0.849805034798334	0	0	-0.785714285714286	0	0	0	0	0	0	-0.79907040585515	0	0	0	0	0	0	0	0	0	0.761904761904762	0	0	0	-0.875172349269926	0	0	0	0.714285714285714	0	0	0	-0.722968462440373	-0.79907040585515	-0.824437720326742	0	0	0	-0.730552019767088	0	0	0	0	0	0	0	0	-0.773703091383558	0	0	-0.714285714285714	0	0	0	0	0	0	0	0	0	0	0	0	-0.7319250547114	-0.709208143266975	0	0	0	0	-0.824437720326742	0	0	0	0	0	0	0	-0.79907040585515	0	0	0	0	0	0	0	0	0	-0.79907040585515	0	0.946124746911475	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.773703091383558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.763762615825973	0	0	0	0	0	0.732588631506546	0	0	0	0	0	0	0	0	0	0	0.763762615825973	0	0	0	0	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0.959183673469388	0	0.750679963874929	0	0	0	0	0	0	0	0.763762615825973	0	0	0	0	0	0	0.763762615825973	0.763762615825973	0.875	0.782623792124926	0	0	0	0.875	0.813733471206735	0	0.813733471206735	0	0.780519860137072	0	0.813733471206735	1	0	0.780519860137072	0	0	0.813733471206735	0	-0.763762615825973	0.782623792124926	0.780519860137072	0.839285714285714	0	1	0.75	0.959183673469388	0	0	0.755928946018454	0	0	0	0.755928946018454	0.813733471206735	0	0	0	0	0.959183673469388	0.813733471206735	0	0	1	1	0.813733471206735	0	0	0.813733471206735	1	0	0	0	0	0.780519860137072	0.780519860137072	0	0.755928946018454	0	0	0	0.875	1	0.875	0	0.813733471206735	0	0	0.813733471206735	0	0.813733471206735	1	0	0	0.875	1	0	1	0	0.813733471206735	0	0	0.755928946018454	0.75	0	0.813733471206735	0	0.755928946018454	0.875	1	0	1	0	0.959183673469388	1	0.813733471206735	0.875	0.755928946018454	0.875	0.755928946018454	0.755928946018454	1	0.755928946018454	0	1	0.839285714285714	0	0	0	0.755928946018454	0	0	0	1	0.839285714285714	0	0.755928946018454	0.839285714285714	1	0.755928946018454	0.755928946018454	0.755928946018454	0.755928946018454	0.755928946018454	0.755928946018454	0.755928946018454	0.755928946018454	0
BACasv86	0.763762615825973	0	0	0	-0.87287156094397	0	0	0	-0.791039852105472	-0.84559432466447	0	0	0	0	0	0	-0.84559432466447	0	0	-0.763762615825973	-0.736485379546474	0	0	0	0	0	0	0	0	0	0	0.813733471206735	0	0	0	0	0	0	-0.791039852105472	0	0.791039852105472	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.736485379546474	0	0	0	0	0	0	0.736485379546474	0	0.96875	0	0	0	0	0.96875	0.78467156152078	0	0.78467156152078	0	0.726547742148871	0	0.78467156152078	0.75	0	0.726547742148871	0	0	0.78467156152078	0	0	0	0.726547742148871	0.90625	0	0.75	1	0	0	0	0	0	0	0.878114079917523	0	0.78467156152078	0	0	0	0.726547742148871	0	0.78467156152078	0	0	0.75	0.75	0.78467156152078	0.929981109950554	0	0	0.75	0	0	0	0	0.726547742148871	0.726547742148871	0.875	0	0	0.813733471206735	0.726547742148871	0.96875	0.75	0.96875	0	0.78467156152078	0	0	0.78467156152078	0	0.78467156152078	0.75	0	0	0.96875	0.75	0.900919200264599	0.75	0	0.900919200264599	0	0	0	0	0	0.78467156152078	0	0	0.96875	0.75	0	0.75	0	0	0.75	0.78467156152078	0.96875	0	0	0	0	0.75	0	0	0.75	0.90625	0	0	0	0	0.839285714285714	0	0	0.75	0.90625	0	0	0.90625	0.75	0	0	0	0	0	0	0	0	0.875
BACasv89	0	0.738095238095238	-0.714285714285714	0.880952380952381	0	0.714285714285714	-0.833333333333333	-0.928571428571429	0.857142857142857	0	0	0.714285714285714	0	0	-0.785714285714286	0	0	0.761904761904762	0	0.785714285714286	0	0.761904761904762	-0.785714285714286	0	0	0	0	0	0.833333333333333	0	-0.714285714285714	-0.722968462440373	0	-0.824437720326742	-0.853912563829967	-0.928571428571429	0	0	0	-0.875172349269926	-0.738095238095238	0	0.714285714285714	0.857142857142857	0	0	0	0.714285714285714	0.928571428571429	0.714285714285714	0	0	0.738095238095238	-0.927105069301107	-0.80952380952381	0	0.833333333333333	0	-0.80952380952381	0	0.857142857142857	0	-0.754504545005353	-0.875172349269926	0	0	-0.927105069301107	-0.761904761904762	-0.857142857142857	0	0	-0.707527552887687	0	0	0	0	0.761904761904762	0	-0.875172349269926	0	0	-0.738095238095238	0	0	0	0	0	0	-0.824437720326742	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.849805034798334	0	0	0	0	0	0	0	0	-0.824437720326742	-0.79907040585515	0	0	0	-0.742528282386221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.722968462440373	0	0	0	0	-0.709208143266975	0	-0.780720058358827	0	0	0	0	0	-0.79907040585515	0	0	0	-0.722968462440373	0	0	0	-0.824437720326742	0	0	0	0	0	0	0	0	0	-0.824437720326742	0	0.802409595481884	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.79907040585515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv90	-0.80952380952381	0.952380952380952	-0.833333333333333	0.761904761904762	0	0.857142857142857	-0.857142857142857	-0.880952380952381	0.714285714285714	0	0.946124746911475	0.714285714285714	0	-0.902707567477393	-0.904761904761905	0	0.80952380952381	0.928571428571429	0.80952380952381	0.738095238095238	0	0.761904761904762	-0.904761904761905	0.880952380952381	0.857142857142857	0.761904761904762	0	-0.880952380952381	0.928571428571429	0	-0.928571428571429	-0.761019434147762	0.904761904761905	-0.887856006505722	-0.756322556535113	-0.880952380952381	-0.785714285714286	0	0	-0.913223320977314	-0.738095238095238	0.857142857142857	0	0.904761904761905	0	0	0.714285714285714	0	0	0.928571428571429	0.714285714285714	0	0.976190476190476	-0.756322556535113	-0.761904761904762	0	0	-0.7319250547114	-0.880952380952381	0	0.785714285714286	0	-0.946124746911475	-0.913223320977314	0	0	-0.829515062006253	-0.833333333333333	-0.880952380952381	0.976190476190476	-0.791039852105472	-0.87831006565368	0	0	0	0	0.928571428571429	0	-0.913223320977314	0	-0.710284805204577	-0.857142857142857	0	0	-0.735652119676169	0	-0.710284805204577	0	-0.887856006505722	-0.735652119676169	0	0	-0.710284805204577	0	0	0	-0.735652119676169	0	0	0	0	0	-0.938590635448906	0	0	0	0	0	0	-0.710284805204577	-0.837121377562538	-0.887856006505722	-0.913223320977314	-0.786386748619354	0	-0.710284805204577	-0.862290908577547	0	0	0	-0.710284805204577	-0.710284805204577	-0.761019434147762	0	0	-0.86248869203413	0	-0.761019434147762	-0.761904761904762	-0.735652119676169	-0.735652119676169	0	0	0	-0.761019434147762	-0.786386748619354	0	0	0	-0.763762615825973	-0.710284805204577	-0.756322556535113	-0.791039852105472	-0.710284805204577	-0.761019434147762	-0.710284805204577	0	-0.913223320977314	0	0	0	-0.761019434147762	0	0	0	-0.887856006505722	0	0	0	-0.780720058358827	-0.710284805204577	-0.761019434147762	0	0	0	-0.887856006505722	0	0.97007727214974	0	0	-0.710284805204577	0	0	0	0	0	0	0	0	0	0	-0.837121377562538	0	0.709208143266975	0	0	0	-0.761019434147762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv91	0	0	0	0.714285714285714	0	0	-0.761904761904762	-0.833333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.714285714285714	0	0	0	0	0	0.761904761904762	0.714285714285714	0	0	0	0	-0.707527552887687	-0.833333333333333	0	0	0	-0.748335776911965	0	0	0	0.80952380952381	0	0	0.928571428571429	0	0	0	0	0	0	-0.780720058358827	0	0	0.928571428571429	0	-0.738095238095238	0	0	0.761904761904762	-0.718575757147955	-0.748335776911965	0	0	-0.780720058358827	0	0	0	0	0	0	0	0	0	0	0	-0.748335776911965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.722968462440373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv92	-0.880952380952381	0.904761904761905	-0.80952380952381	0.80952380952381	0	0.904761904761905	-0.928571428571429	-0.904761904761905	0.738095238095238	0.714285714285714	0.922172221673209	0	0	-0.80511756018254	-0.857142857142857	0	0.857142857142857	0.857142857142857	0.833333333333333	0.761904761904762	0	0.714285714285714	-0.857142857142857	0.904761904761905	0.928571428571429	0	0	-0.904761904761905	0.928571428571429	0.738095238095238	-0.928571428571429	-0.761019434147762	0.880952380952381	-0.938590635448906	0	-0.904761904761905	0	0	0	-0.913223320977314	-0.857142857142857	0.928571428571429	0	0.80952380952381	0	0	0.714285714285714	0.928571428571429	0	0	0.738095238095238	0	0.952380952380952	-0.756322556535113	0	0	0	0	-0.904761904761905	0	0.714285714285714	0.761904761904762	-0.886243433815812	-0.913223320977314	0	0	-0.780720058358827	-0.761904761904762	-0.904761904761905	0.880952380952381	-0.84559432466447	-0.87831006565368	0	0	0	0	0.857142857142857	0	-0.913223320977314	0	-0.710284805204577	-0.785714285714286	0	0	0	0	-0.710284805204577	0	-0.938590635448906	0	0	0	-0.710284805204577	0	0	0	0	0	0	0	0	0	-0.887856006505722	0	0	0.7319250547114	0	-0.802409595481884	0	-0.710284805204577	-0.786386748619354	-0.938590635448906	-0.913223320977314	-0.837121377562538	0	-0.710284805204577	-0.97007727214974	0	0	0	-0.710284805204577	-0.811754063090946	-0.761019434147762	0	0	-0.761019434147762	0	-0.761019434147762	-0.928571428571429	0	0	0	0	0	-0.761019434147762	-0.837121377562538	0	0	0	-0.87287156094397	-0.710284805204577	-0.756322556535113	-0.84559432466447	-0.710284805204577	-0.761019434147762	-0.710284805204577	0	-0.913223320977314	0	0	0	-0.86248869203413	0	0	0	-0.938590635448906	0	0	0	-0.7319250547114	-0.710284805204577	-0.761019434147762	0	0	0	-0.938590635448906	0	0.898219696434944	0	0	-0.710284805204577	0	0	0	0	0	0	0	0	0	0	-0.786386748619354	0	0	0	0	0	-0.761019434147762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv96	0	0.714285714285714	-0.833333333333333	0.904761904761905	0.714285714285714	0.714285714285714	-0.80952380952381	-0.738095238095238	0	0	0	0.761904761904762	0	-0.853912563829967	0	0	0	0	0.714285714285714	0	0	0	-0.857142857142857	0.738095238095238	0.761904761904762	0.714285714285714	-0.738095238095238	-0.738095238095238	0.833333333333333	0	-0.833333333333333	-0.710284805204577	0.761904761904762	-0.786386748619354	-0.80511756018254	-0.738095238095238	0	0	0	-0.761019434147762	-0.738095238095238	0	0.80952380952381	0	0	0	0	0.714285714285714	0	0.738095238095238	0	0	0.785714285714286	-0.707527552887687	-0.904761904761905	0	0	-0.7319250547114	-0.880952380952381	0	0.785714285714286	0	0	-0.761019434147762	0	-0.857142857142857	-0.829515062006253	-0.880952380952381	0	0	-0.736485379546474	0	0	0	0	0	0	0	-0.761019434147762	0	-0.86248869203413	-0.714285714285714	0	0	-0.837121377562538	0	-0.86248869203413	0	-0.786386748619354	-0.837121377562538	0	0	-0.86248869203413	0	0	0	-0.837121377562538	0	0	0	0	0	-0.837121377562538	0	0	0	0	0	0	-0.86248869203413	-0.938590635448906	-0.786386748619354	-0.86248869203413	-0.887856006505722	0	-0.86248869203413	-0.814385858101016	0	0	0	-0.86248869203413	-0.761019434147762	-0.913223320977314	0	0	-0.913223320977314	0	-0.913223320977314	0	-0.837121377562538	-0.837121377562538	0	0	0	-0.710284805204577	-0.887856006505722	0	0	0	0	-0.86248869203413	-0.902707567477393	-0.736485379546474	-0.86248869203413	-0.913223320977314	-0.86248869203413	0	-0.86248869203413	0	0	0	-0.710284805204577	0	0	0	-0.786386748619354	0	0	-0.84559432466447	0	-0.86248869203413	-0.913223320977314	0	0	0	-0.786386748619354	0	0	0	0	-0.86248869203413	0	0	-0.791039852105472	0	0	0	0	0	0	0	-0.735652119676169	0	0	0	0	-0.87287156094397	-0.913223320977314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv100	0	0	0	0	0	0	0	0	0	0.722968462440373	0.740070490451322	0.722968462440373	0	0	-0.735652119676169	-0.86248869203413	0	0.849805034798334	0.735652119676169	0	0	0.849805034798334	0	0	0	0.811754063090946	-0.722968462440373	0	0	0	0	0	0.710284805204577	0	0	0	-0.786386748619354	0	0.786386748619354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.7148284617513	0	0	0.761019434147762	0	0	0	0	0	0	0	0	0.79907040585515	0	-0.779812867365055	0	0	0	0	0.849805034798334	0	0	0	0	-0.811754063090946	0	0	0	0	0	0	0	0	0.761019434147762	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.726547742148871	0	0	0	0	0	0	-0.7148284617513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.7148284617513	0	0	0	0	0	0	0	0.740070490451322	0	0	0	0	0	0	0	0	0	0	0.972972972972973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv101	-0.785714285714286	0.904761904761905	-0.857142857142857	0.80952380952381	0	0.904761904761905	-0.928571428571429	-0.904761904761905	0	0	0.898219696434944	0	0	-0.902707567477393	-0.857142857142857	0	0.761904761904762	0.857142857142857	0.785714285714286	0.761904761904762	0	0.714285714285714	-0.952380952380952	0.904761904761905	0.880952380952381	0	0	-0.904761904761905	0.976190476190476	0.738095238095238	-0.976190476190476	-0.761019434147762	0.880952380952381	-0.887856006505722	-0.756322556535113	-0.904761904761905	0	0	0	-0.913223320977314	-0.80952380952381	0.880952380952381	0	0.880952380952381	0	0	0.738095238095238	0.976190476190476	0	0.952380952380952	0.785714285714286	0	0	-0.756322556535113	-0.785714285714286	0	0	0	-0.952380952380952	0	0.761904761904762	0.785714285714286	-0.910195959054077	-0.913223320977314	0	0	-0.829515062006253	-0.857142857142857	-0.857142857142857	0.928571428571429	-0.791039852105472	-0.829515062006253	0	0	0	0	0.857142857142857	0	-0.913223320977314	0	-0.710284805204577	-0.785714285714286	0	0	-0.735652119676169	0	-0.710284805204577	0	-0.887856006505722	-0.735652119676169	0	0	-0.710284805204577	0	0	0	-0.735652119676169	0	0	0	0	0	-0.938590635448906	0	0	0.756322556535113	0	0	0	-0.710284805204577	-0.837121377562538	-0.887856006505722	-0.913223320977314	-0.786386748619354	0	-0.710284805204577	-0.922172221673209	0	0	0	-0.710284805204577	-0.710284805204577	-0.761019434147762	0	0	-0.86248869203413	0	-0.761019434147762	-0.80952380952381	-0.735652119676169	-0.735652119676169	0	0	0	-0.761019434147762	-0.786386748619354	0	0	0	-0.763762615825973	-0.710284805204577	-0.756322556535113	-0.791039852105472	-0.710284805204577	-0.761019434147762	-0.710284805204577	0	-0.913223320977314	0	0	0	-0.761019434147762	0	0	0	-0.887856006505722	0	0	0	-0.707527552887687	-0.710284805204577	-0.761019434147762	0	0	0	-0.887856006505722	0	0.922172221673209	0	0	-0.710284805204577	0	0	0	0	0	0	0	0	0	0	-0.837121377562538	0	0	0	0	0	-0.761019434147762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv102	0.7319250547114	-0.756322556535113	0.80511756018254	-0.853912563829967	-0.829515062006253	-0.829515062006253	0.853912563829967	0.902707567477393	-0.95150257112482	-0.853912563829967	-0.736321040510724	-0.829515062006253	0	0.725	0.87831006565368	0	-0.80511756018254	-0.853912563829967	-0.80511756018254	-0.87831006565368	0	-0.927105069301107	0.780720058358827	-0.80511756018254	-0.756322556535113	-0.780720058358827	0.756322556535113	0.80511756018254	-0.80511756018254	0	0.756322556535113	0.909781678592564	-0.707527552887687	0.883787916347062	0.925	0.902707567477393	0	0	-0.902707567477393	0.935775440838066	0.853912563829967	0	-0.7319250547114	-0.780720058358827	0	0	-0.927105069301107	-0.756322556535113	-0.780720058358827	-0.756322556535113	-0.707527552887687	0	-0.756322556535113	0	0.80511756018254	0	0	0.725	0.80511756018254	0	-0.902707567477393	0	0.760865075194415	0.935775440838066	0	0	0.925	0.756322556535113	0.853912563829967	-0.756322556535113	0	0.825	0	0	0	0	-0.853912563829967	0	0.935775440838066	0	0.727825342874051	0.80511756018254	0	0	0.779812867365055	0	0.727825342874051	0	0.883787916347062	0.779812867365055	0	0	0.727825342874051	0	0	0	0.779812867365055	0	0	0	0	0	0.883787916347062	0	0	0	0	0.785409109878106	0	0.727825342874051	0.727825342874051	0.883787916347062	0.831800391856058	0.727825342874051	0	0.727825342874051	0.785409109878106	0	0	0	0.727825342874051	0.805806629610556	0	0	0	0.779812867365055	0	0	0	0.779812867365055	0.779812867365055	0	0	0	0.909781678592564	0.727825342874051	0	0	0	0	0.727825342874051	0.8	0	0.727825342874051	0	0.727825342874051	0	0.831800391856058	0	0	0	0.883787916347062	0	0	0	0.883787916347062	0	0	0	0	0.727825342874051	0	0	0	0	0.883787916347062	0	-0.834497179245487	0	0	0.727825342874051	0	0	0	0	0	0	0	0	0	0	0.935775440838066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv103	0	-0.785714285714286	0.738095238095238	-0.880952380952381	0	0	0.761904761904762	0.833333333333333	-0.761904761904762	0	0	-0.904761904761905	0	0.927105069301107	0.714285714285714	0	0	0	0	-0.80952380952381	0	0	0.904761904761905	0	0	-0.833333333333333	0.761904761904762	0	-0.857142857142857	0	0.761904761904762	0.761019434147762	0	0.761019434147762	0.927105069301107	0.833333333333333	0.738095238095238	0	0	0.786386748619354	0	0	-0.952380952380952	-0.80952380952381	0	0	-0.80952380952381	-0.761904761904762	0	0	-0.904761904761905	0	-0.785714285714286	0.80511756018254	0	0	0	0.756322556535113	0.833333333333333	0	-0.833333333333333	0	0	0.786386748619354	0	0.714285714285714	0.902707567477393	0.976190476190476	0.785714285714286	-0.714285714285714	0	0	0	0	0	0	0	0	0.786386748619354	0	0.837121377562538	0.761904761904762	0	0	0.86248869203413	0	0.837121377562538	0	0.761019434147762	0.86248869203413	0	0	0.837121377562538	0	0	0.756322556535113	0.86248869203413	0	0	0	0	0	0.86248869203413	0	0	0	0	0.754504545005353	0	0.837121377562538	0.913223320977314	0.761019434147762	0.837121377562538	0.811754063090946	0	0.837121377562538	0	0	0	0	0.837121377562538	0.710284805204577	0.86248869203413	0	0	0.938590635448906	0	0.86248869203413	0	0.86248869203413	0.86248869203413	0	0	0	0.761019434147762	0.811754063090946	0	0	0	0	0.837121377562538	0.902707567477393	0	0.837121377562538	0.86248869203413	0.837121377562538	0	0.837121377562538	0	0	0	0	0	0	0	0.761019434147762	0.707527552887687	0	0.791039852105472	0	0.837121377562538	0.86248869203413	0	0	0	0.761019434147762	0	-0.778457070243618	0	0	0.837121377562538	0	0	0.763762615825973	0	0	0	0	0	0	0	0.811754063090946	0	0	0	0	0.84559432466447	0.86248869203413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.732588631506546	0	0	0	0	0	0.763762615825973	0	0	0	0	0	0	0	0	0	0	0.732588631506546	0	0	0	0	0	0	0.959183673469388	0	0	0	0	0	0	0	0	0	0	0	0	0.782623792124926	0	0	0	0	0	0	0	0.732588631506546	0	0	0	0	0	0	0.732588631506546	0.732588631506546	0.839285714285714	0.750679963874929	0	0	0	0.839285714285714	0.780519860137072	0	0.780519860137072	0	0.813733471206735	0	0.780519860137072	0.959183673469388	0	0.813733471206735	0	0	0.780519860137072	0	-0.732588631506546	0.750679963874929	0.813733471206735	0.875	0	0.959183673469388	0	1	0	0	0	0	0	0	0	0.780519860137072	0	0	0	0	1	0.780519860137072	0	0	0.959183673469388	0.959183673469388	0.780519860137072	0	0	0.780519860137072	0.959183673469388	0	0	0	0	0.813733471206735	0.813733471206735	0	0	0	0	0	0.839285714285714	0.959183673469388	0.839285714285714	0	0.780519860137072	0	0	0.780519860137072	0	0.780519860137072	0.959183673469388	0	0	0.839285714285714	0.959183673469388	0	0.959183673469388	0	0.780519860137072	0	0	0	0	0	0.780519860137072	0	0	0.839285714285714	0.959183673469388	0	0.959183673469388	0	1	0.959183673469388	0.780519860137072	0.839285714285714	0	0.839285714285714	0	0	0.959183673469388	0	0	0.959183673469388	0.875	0	0	0	0	0	0	0	0.959183673469388	0.875	0	0	0.875	0.959183673469388	0	0	0	0	0	0	0	0	0
BACasv114	0	0	0	0	0	0	0	-0.714285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.714285714285714	0	0	0	0	0	0	0	0.714285714285714	0	0	0.833333333333333	0	0.928571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
