	ProASV5	ProASV32	ProASV36	ProASV42	ProASV49	ProASV64	ProASV67	ProASV68	ProASV69	ProASV82	ProASV95	ProASV110	ProASV114	ProASV117	ProASV120	ProASV121	ProASV135	ProASV136	ProASV145	ProASV146	ProASV153	ProASV163	ProASV171	ProASV183	ProASV190	ProASV203	ProASV217	ProASV223	ProASV228	ProASV241	ProASV246	ProASV247	ProASV248	ProASV253
ProASV5	0	0	1	0	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0
ProASV32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.939411192283174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV36	1	0	0	0	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0
ProASV42	0	0	0	0	0	0	-0.858286364036068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.846769196587333	0	0	-0.957831325301205	0	0	0	0	0
ProASV49	1	0	1	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0
ProASV64	1	0	1	0	1	0	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0
ProASV67	0	0	0	-0.858286364036068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.955993750310592	0	0	0.833587475862369	0	0	0	0.759490811341269	0.724267208806849
ProASV68	1	0	1	0	1	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0
ProASV69	1	0	1	0	1	1	0	1	0	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0
ProASV82	1	0	1	0	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0
ProASV95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.952402989819257	0	0	0	0	0	0	0	0	0	0	0
ProASV110	1	0	1	0	1	1	0	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0
ProASV114	1	0	1	0	1	1	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0
ProASV117	1	0	1	0	1	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0
ProASV120	1	0	1	0	1	1	0	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0
ProASV121	0	-0.939411192283174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV135	1	0	1	0	1	1	0	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0
ProASV136	1	0	1	0	1	1	0	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0
ProASV145	1	0	1	0	1	1	0	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0
ProASV146	1	0	1	0	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0
ProASV153	1	0	1	0	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0
ProASV163	1	0	1	0	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0
ProASV171	0	0	0	0	0	0	0	0	0	0	0.952402989819257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ProASV183	1	0	1	0	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0
ProASV190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.969489370005787	0	0	0	0	0.711777005827033	0.734939759036145	0.994029797388005
ProASV203	0	0	0	-0.846769196587333	0	0	0.955993750310592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.895857265954714	0	0	0	0	0
