ASVID	Restore6_1	Restore6_2	Restore6_3	Restore6_4	Restore9_1	Restore9_2	Restore9_3	Restore9_4
FUNasv1	0.007321718	0.006798857	0.004597621	0.0117293	0.001090146	0.002875771	0.004106252	0.001715756
FUNasv5	0.061583417	0.061906893	0.093224344	0.076780616	0.006377863	0.004715334	0.014902354	0.014552156
FUNasv6	0.001094427	0.001543369	0.001948738	0.007077266	0.001232782	0.000116428	0.001041298	0.000254186
FUNasv7	0.000777043	0.000596693	0.002147112	0.004122893	0	0.000256142	0.001011828	0.000651352
FUNasv8	0.001477477	0.001405671	0.001767867	0.0051922	0.000163012	0.000256142	0.000972533	0.000460712
FUNasv9	0.019349472	0.009931495	0.01061887	0.011222206	0.031817997	0.105111189	0.058735117	0.069885299
FUNasv10	0.017270061	0.01648938	0.012124182	0.021650701	0.024329611	0.106077541	0.03922551	0.057366632
FUNasv12	0.016646237	0.020964577	0.029785347	0.040391124	0.005736001	0.001932705	0.009872687	0.005051949
FUNasv14	0.024175896	0.034757364	0.028460906	0.015389194	0	0.002945628	0.015540886	0.005735075
FUNasv15	0	5.74E-05	0.00051344	0.000948045	0	0	0.000265236	6.35E-05
FUNasv16	0.001083483	0.00152042	0.001960407	0.000440951	0.114709838	0.007311678	0.024401745	0.011104756
FUNasv17	0.00015322	0.000206548	0.00077016	0.002193732	0	0.000104785	0.000334001	0.000206526
FUNasv20	0.010309504	0.006127578	0.007695764	0.010593851	0.029933165	0.012376295	0.019607843	0.01264576
FUNasv23	0.001291424	0.001124537	0.003127316	0.007485145	0.000845627	0.004936547	0.000491178	0.001985829
FUNasv25	0.009707569	0.002363822	0.002374659	0.001719709	0.030931616	0.011968797	0.02879288	0.018142535
FUNasv27	0.00202469	0.001635168	0.002689725	0.002645707	0.000315837	0.001129351	0.001149358	0.000905538
FUNasv30	0.000842709	0.000476207	0.000414253	0.001653567	6.11E-05	0.000104785	5.89E-05	9.53E-05
FUNasv33	0.013089349	0.013500178	0.011336519	0.002789016	0.000621485	0.000267784	0.000186648	0.000413052
FUNasv38	0.011360154	0.008370914	0.008956025	0.003252015	0.001253158	0.001758063	0.000933239	0.000667239
FUNasv39	0.048953728	0.041602121	0.040030806	0.026236592	0.021558399	0.029537781	0.01376282	0.01080291
FUNasv43	0.000755155	0.001027	0.001551989	0.002700826	0.000224142	6.99E-05	0.000579591	9.53E-05
FUNasv48	0.011469597	0.008405338	0.003098143	0.005677246	0.003331567	0.000465712	0.002907776	0.002128809
FUNasv49	0.006544675	0.00757341	0.008121685	0.003946513	0	0	1.96E-05	9.53E-05
FUNasv50	0	0.000131961	0.001213585	0.000551189	0.004543973	0.01314472	0.001807537	0.064849236
FUNasv51	0.000404938	0.000240972	0.000326734	0.000462999	0.001253158	0.005553615	0.001964714	0.002462428
FUNasv52	0.020093683	0.017057386	0.011103137	0.015565575	0.009923384	0.03594132	0.011581988	0.007434944
FUNasv53	0.000317384	0.000137698	0.001044383	0.001675614	0	0	0.000265236	7.94E-05
FUNasv55	0.000372105	0.003849817	0.00223463	0.00108033	0.014294156	0.003597625	0.015953476	0.002891367
FUNasv58	0.000262663	0.000218022	0.000233382	0.001554353	0	6.99E-05	0.000108059	6.35E-05
FUNasv61	0	0.000114749	0.000221713	0.000396856	0	0	9.82E-05	9.53E-05
FUNasv62	0.00901808	0.007240639	0.010350481	0.009491473	0.000916945	0.000849924	0.001522653	0.000730785
FUNasv63	0.012925185	0.012381379	0.014236287	0.008918237	0.00633711	0.007090465	0.00501002	0.003510946
FUNasv65	5.47E-05	4.59E-05	8.17E-05	0.000374808	0.002037656	0.007835604	0.008124091	0.015092301
FUNasv66	0.000448715	0.000504894	0.000245051	0	0.003708534	0.005996041	0.003408778	0.018301401
FUNasv68	0.000908375	0.000803241	0.0012836	0.001377972	9.17E-05	0.002165561	0	0.001127951
FUNasv71	0.00707	0.007906182	0.007532396	0.00347249	0	3.49E-05	7.86E-05	6.35E-05
FUNasv72	0.001707306	0.001784341	0.001727025	0.002105542	0.000641862	0.001851205	0.000510826	0.000413052
FUNasv75	0.001652585	0.001434358	0.001056052	0.001664591	0.000112071	0	0	0.000285959
FUNasv77	0.000262663	0.000384408	0.000851843	0.002061447	0.000254707	0.001222494	0.000167001	0.000508372
FUNasv79	0.00112726	0.009047931	0.000933527	0.000418904	0.001130899	0.002456631	0.001591418	0.001541003
FUNasv85	0.002922121	0.002627744	0.004405081	0.001620495	0.000183389	0.000919781	0.000255413	0.000413052
FUNasv95	0.000164164	0.00022376	0.000157533	0.000914974	0.00764121	0.004133194	0.006120083	0.001985829
FUNasv99	0.001389923	0.001508945	0.001231089	0.001289782	0.000550167	0.000221213	0.000579591	0.001032631
FUNasv103	0.001937136	0.002237599	0.001015211	0.002381136	0.005552612	0.015112353	0.009872687	0.005623868
FUNasv104	0.001072539	0.000734391	0.000420087	0.001455139	0.002516505	0.001501921	0.002681834	0.002271789
FUNasv114	0.002188854	0.000665542	0.003296517	0.00396856	0.00035659	0.00058214	0.001453888	0.000635465
FUNasv115	0.000503437	0.000367196	0.002088767	0.006162292	0	0.000162999	0.000510826	0.000206526
FUNasv116	0	3.44E-05	0.000110856	0	0.000529791	0.001699849	0.009528862	0.001143838
FUNasv124	0.000733266	0.001004051	0.002339652	0.002469326	0.000101883	0.000302713	0.000510826	0.000270073
FUNasv127	0.000777043	0.001090112	0.00191373	0.002667754	0	0	0	0.000270073
FUNasv128	0.000831765	0.00020081	0.004428419	0.00875288	0.000815062	0.001152637	0.001581595	0.000810218
FUNasv129	0.001554087	0.001904827	0.003448216	0.003196896	0.000254707	0.000104785	0.000108059	7.94E-05
FUNasv134	0.000612879	0.001417146	0.001242758	0.003461466	0.000631673	0	0.000481355	0.000413052
FUNasv135	0.001105371	0.001577794	0.001960407	0.002590588	0.000285272	0.00058214	0.000491178	0.000778445
FUNasv140	0.000580046	0.001640906	0.001108563	0.000242523	0	0	0	0.000349506
FUNasv142	0.000481548	0.000218022	0.002631379	0.002502398	9.17E-05	8.15E-05	0.000127706	9.53E-05
FUNasv155	0.000273607	0.000120486	0.00025672	0.000374808	0.00100864	0.003795552	0.00110024	0.00146157
FUNasv160	0.00082082	0.001067162	0.000653469	0.000264571	0.000173201	0	0.000147354	0.000174753
FUNasv162	0	0	0	0	0.000173201	0.005728257	0.000176824	0.000540146
FUNasv164	0.005494024	0.004326024	0.001050218	0.000716546	0.000438096	3.49E-05	0.000108059	0.000111206
FUNasv168	0.001608808	0.000843403	0.000420087	0.000683474	0.000315837	0.000221213	0.000225942	0.00019064
FUNasv169	0.000580046	0.000757341	0.000268389	0.000363785	0.001110522	0.008534172	0.002141538	0.002875481
FUNasv176	0.000295495	0.000143436	0.000390914	0.000330713	0.000285272	0.000174642	0.000265236	0.000174753
FUNasv179	0	0.000292609	0.001528651	0.000937021	0	0	5.89E-05	4.77E-05
FUNasv189	0	0	0	0.000132285	0.000173201	9.31E-05	0.00360525	3.18E-05
FUNasv202	0.000623823	0.000315559	0.000729318	0.000937021	0	0.000139714	0.000117883	9.53E-05
FUNasv203	0.000196997	0.000315559	0	0.000242523	0.00195615	0.000384212	0.002131714	0.000349506
FUNasv204	0	0.000613905	0	0	0.000723368	0.000395855	0.001090416	0.000428939
FUNasv206	0.000207941	6.88E-05	2.92E-05	0	9.17E-05	0.005425544	0.000648356	0.000492486
FUNasv208	0.00022983	0.000384408	0.000740987	0.00031969	0	0.000232856	0.000157177	0.000127093
FUNasv209	0.000503437	0.000476207	0.000274224	0.000374808	0.000183389	0.000826639	0.00027506	0.00014298
FUNasv214	0	0	7.00E-05	9.92E-05	0.000509414	0.000966352	0.000304531	0.000730785
FUNasv216	0	0	0	0	0	4.66E-05	0.001837007	3.18E-05
FUNasv220	0.000481548	0.000642592	0.000280058	0	0.000570544	0.000314356	0.000314354	0.000524259
FUNasv227	0.000711378	0.000803241	0.000525109	0.000352761	7.13E-05	6.99E-05	8.84E-05	0.000333619
FUNasv229	0.000120387	8.61E-05	7.00E-05	0.000110238	0.000743744	0.000256142	0.000314354	0.000270073
FUNasv234	0.000798932	0.000791766	0.001371118	0.001135449	0.000264895	0.000174642	0.000422413	4.77E-05
