	FUNasv1	FUNasv5	FUNasv6	FUNasv7	FUNasv8	FUNasv9	FUNasv10	FUNasv12	FUNasv14	FUNasv16	FUNasv20	FUNasv22	FUNasv23	FUNasv25	FUNasv26	FUNasv27	FUNasv30	FUNasv33	FUNasv34	FUNasv38	FUNasv39	FUNasv43	FUNasv47	FUNasv48	FUNasv50	FUNasv51	FUNasv52	FUNasv55	FUNasv58	FUNasv62	FUNasv63	FUNasv65	FUNasv66	FUNasv68	FUNasv71	FUNasv77	FUNasv79	FUNasv82	FUNasv85	FUNasv95	FUNasv99	FUNasv100	FUNasv103	FUNasv104	FUNasv105	FUNasv114	FUNasv115	FUNasv116	FUNasv118	FUNasv124	FUNasv128	FUNasv129	FUNasv135	FUNasv142	FUNasv146	FUNasv155	FUNasv162	FUNasv164	FUNasv167	FUNasv168	FUNasv169	FUNasv176	FUNasv189	FUNasv191	FUNasv200	FUNasv202	FUNasv203	FUNasv204	FUNasv206	FUNasv208	FUNasv209	FUNasv214	FUNasv215	FUNasv216	FUNasv220	FUNasv222	FUNasv227	FUNasv229	FUNasv231	FUNasv234	FUNasv235	FUNasv240	FUNasv241	FUNasv242	FUNasv247	FUNasv262	FUNasv284	FUNasv292	FUNasv293	FUNasv294	FUNasv295	FUNasv296	FUNasv306	FUNasv307	FUNasv315	FUNasv317	FUNasv318	FUNasv320	FUNasv323	FUNasv328	FUNasv341	FUNasv343	FUNasv350	FUNasv356	FUNasv358	FUNasv364	FUNasv372	FUNasv374	FUNasv377	FUNasv387	FUNasv403	FUNasv411	FUNasv412	FUNasv423	FUNasv448	FUNasv456	FUNasv462	FUNasv468	FUNasv472	FUNasv482	FUNasv499	FUNasv506	FUNasv526	FUNasv527	FUNasv535	FUNasv555	FUNasv563	FUNasv578	FUNasv583	FUNasv598	FUNasv599	FUNasv611	FUNasv613	FUNasv614	FUNasv641
FUNasv1	0	0.761904761904762	0	0	0.904761904761905	0	0	0.80952380952381	0	-0.928571428571429	-0.714285714285714	0	0	-0.857142857142857	0.785714285714286	0.857142857142857	0.857142857142857	0	0.785714285714286	0.714285714285714	0	0.80952380952381	0.714285714285714	0	-0.857142857142857	0	0	0	0.976190476190476	0.785714285714286	0	0	-0.857142857142857	0	0.761904761904762	0	0	0	0.714285714285714	0	0.785714285714286	0	0	0	0	0.857142857142857	0.785714285714286	-0.754504545005353	0.80952380952381	0.904761904761905	0	0	0.80952380952381	0.785714285714286	0.780720058358827	0	-0.761019434147762	0	0	0.785714285714286	0	0	0	0.853912563829967	0.730552019767088	0.904761904761905	0	0	0	0	0	-0.754504545005353	0	0	0	0	0.714285714285714	-0.714285714285714	0	0.785714285714286	0	-0.707527552887687	0	0	0	-0.761904761904762	0	0	-0.735652119676169	-0.86248869203413	0.80511756018254	-0.786386748619354	0	0	0	0	0	-0.707527552887687	-0.707527552887687	0	-0.811754063090946	0	0	-0.86248869203413	0.756322556535113	0	0	0	0	-0.86248869203413	0	-0.86248869203413	-0.874267171196679	0	-0.714285714285714	-0.913223320977314	0	0	0	0	-0.766480807624486	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FUNasv5	0.761904761904762	0	0.833333333333333	0.785714285714286	0.928571428571429	-0.857142857142857	-0.857142857142857	0.952380952380952	0.785714285714286	0	-0.714285714285714	-0.738095238095238	0	-0.761904761904762	0	0.904761904761905	0	0	0.761904761904762	0	0	0.952380952380952	0	0	0	-0.80952380952381	0	0	0.80952380952381	0.904761904761905	0	0	-0.880952380952381	0	0.857142857142857	0	0	0	0.738095238095238	-0.785714285714286	0.761904761904762	0	-0.80952380952381	-0.714285714285714	0	0.880952380952381	0.857142857142857	0	0	0.904761904761905	0	0.880952380952381	0.857142857142857	0.976190476190476	0.80511756018254	-0.80952380952381	-0.86248869203413	0	0	0	-0.904761904761905	0	0	0.780720058358827	0.778457070243618	0.80952380952381	-0.761904761904762	0	-0.80952380952381	0.738095238095238	0	-0.778457070243618	0.714285714285714	0	0	0.754504545005353	0.785714285714286	-0.80952380952381	0	0.904761904761905	0	-0.902707567477393	0.738095238095238	0	-0.761019434147762	0	0	-0.833333333333333	-0.86248869203413	-0.86248869203413	0.7319250547114	-0.811754063090946	0	-0.80952380952381	0	-0.763762615825973	0	0	-0.829515062006253	0.756322556535113	-0.913223320977314	-0.80511756018254	0	-0.938590635448906	0	0	0	0	0.790433332862751	-0.86248869203413	0	-0.938590635448906	-0.922172221673209	0	-0.80952380952381	-0.837121377562538	-0.763762615825973	0	0	0	0	0	0	0	0	0	0	0	-0.732588631506546	0	0	0	0	0	-0.763762615825973
FUNasv6	0	0.833333333333333	0	0	0.714285714285714	-0.880952380952381	-0.80952380952381	0.928571428571429	0	0	0	-0.714285714285714	0	0	0	0	0	0	0.80952380952381	0	0	0.928571428571429	0	0	0	-0.785714285714286	0	0	0	0.833333333333333	0	0	-0.857142857142857	0	0	0	0	0	0	0	0	0	-0.738095238095238	0	0	0	0	-0.718575757147955	0	0.738095238095238	0	0.928571428571429	0	0.785714285714286	0	-0.785714285714286	-0.875172349269926	0	0	0	-0.904761904761905	0	0	0.707527552887687	0	0	0	0	-0.976190476190476	0	0	0	0.714285714285714	-0.791039852105472	0	0.730552019767088	0	0	0	0.833333333333333	0	-0.95150257112482	0	-0.763762615825973	-0.79907040585515	0	0	-1	-0.773703091383558	-0.79907040585515	0	-0.849805034798334	0	0	0	0	0	0	-0.829515062006253	0	-0.722968462440373	0	0	-0.748335776911965	0	0	-0.946124746911475	-0.732588631506546	0	-0.79907040585515	0	-0.748335776911965	-0.730552019767088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.732588631506546	0	0	-0.763762615825973	0	0	0	0
FUNasv7	0	0.785714285714286	0	0	0.880952380952381	0	0	0.738095238095238	0	0	0	0	0	0	0	0.80952380952381	0	0	0	0	0	0.738095238095238	0	0	0	0	0	0	0.785714285714286	0.714285714285714	0	0	-0.738095238095238	0	0	0	0	0	0	0	0	0	0	0	0	0.952380952380952	0.976190476190476	0	0	0.785714285714286	0.738095238095238	0	0	0.833333333333333	0	0	0	0	0	0	0	0	0	0	0	0.738095238095238	0	0	0	0	0	0	0	0	-0.80952380952381	0	0	0	0	0.714285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.732588631506546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.778457070243618	0	0	0	-0.732588631506546	0	0	0	0	0	0	0	0	0	0	0	-0.763762615825973	0	0	0	0	0	-0.732588631506546
FUNasv8	0.904761904761905	0.928571428571429	0.714285714285714	0.880952380952381	0	0	0	0.904761904761905	0	-0.833333333333333	0	-0.761904761904762	0	-0.833333333333333	0	0.952380952380952	0.761904761904762	0	0.785714285714286	0	0	0.904761904761905	0.714285714285714	0	-0.714285714285714	0	0	0	0.952380952380952	0.880952380952381	0	0	-0.904761904761905	0	0.785714285714286	0	0	0	0.761904761904762	-0.785714285714286	0.738095238095238	0	0	0	0	0.976190476190476	0.928571428571429	0	0	0.952380952380952	0	0.785714285714286	0.904761904761905	0.952380952380952	0.853912563829967	0	-0.786386748619354	0	0	0	-0.833333333333333	0	0	0.87831006565368	0.790433332862751	0.928571428571429	-0.785714285714286	0	0	0.714285714285714	0	0	0	0	0	0	0.714285714285714	-0.785714285714286	0.707527552887687	0.880952380952381	0	-0.780720058358827	0.738095238095238	0	-0.710284805204577	0	0	-0.714285714285714	-0.811754063090946	-0.837121377562538	0.7319250547114	-0.761019434147762	0	0	0	-0.732588631506546	0	0	-0.80511756018254	0.707527552887687	-0.887856006505722	-0.707527552887687	0	-0.913223320977314	0.707527552887687	0	0	0	0.730552019767088	-0.837121377562538	0	-0.913223320977314	-0.946124746911475	0	-0.785714285714286	-0.86248869203413	-0.732588631506546	0	0	0	-0.730552019767088	0	0	0	0	0	0	0	-0.763762615825973	0	0	0	0	0	-0.732588631506546
FUNasv9	0	-0.857142857142857	-0.880952380952381	0	0	0	0.952380952380952	-0.880952380952381	-0.761904761904762	0	0.738095238095238	0	0	0	-0.761904761904762	0	0	-0.857142857142857	-0.761904761904762	0	0	-0.880952380952381	0	-0.761904761904762	0.785714285714286	0.976190476190476	0	0	0	-0.80952380952381	-0.738095238095238	0.857142857142857	0.785714285714286	0	-0.833333333333333	0	0	0	0	0	-0.80952380952381	0	0.857142857142857	0.738095238095238	0	0	0	0.730552019767088	-0.785714285714286	-0.738095238095238	0	-0.904761904761905	0	-0.785714285714286	0	0.976190476190476	0.938590635448906	-0.833333333333333	0	-0.80952380952381	0.857142857142857	0	0	0	0	0	0	0	0.857142857142857	0	0	0.874267171196679	-0.857142857142857	0.791039852105472	0	-0.826362120720149	-0.833333333333333	0.738095238095238	0	-0.80952380952381	0	0.975900072948533	0	0.763762615825973	0.86248869203413	0.833333333333333	0	0.880952380952381	0.86248869203413	0.887856006505722	-0.80511756018254	0.913223320977314	0	0.904761904761905	0	0	0.874267171196679	0.780720058358827	0.80511756018254	-0.780720058358827	0.837121377562538	0.853912563829967	0	0.86248869203413	0	0	0.778457070243618	0.732588631506546	-0.754504545005353	0.887856006505722	0	0.86248869203413	0.754504545005353	0	0.738095238095238	0.811754063090946	0	0	0	0	0.742528282386221	0	0	0	0	0	0	0.732588631506546	0	0	0.763762615825973	0	0	0	0
FUNasv10	0	-0.857142857142857	-0.80952380952381	0	0	0.952380952380952	0	-0.833333333333333	-0.785714285714286	0	0.738095238095238	0.738095238095238	0	0	-0.761904761904762	-0.738095238095238	0	-0.857142857142857	-0.714285714285714	-0.785714285714286	0	-0.833333333333333	0	-0.738095238095238	0.785714285714286	0.976190476190476	0	0	0	-0.857142857142857	-0.833333333333333	0.857142857142857	0.785714285714286	0	-0.833333333333333	0	0	0	-0.738095238095238	0.761904761904762	-0.761904761904762	0	0.952380952380952	0.785714285714286	0	0	0	0	0	0	0	-0.904761904761905	0	-0.833333333333333	-0.7319250547114	0.976190476190476	0.938590635448906	-0.880952380952381	0	-0.80952380952381	0.904761904761905	0	0	0	0	0	0.738095238095238	0	0.785714285714286	0	0	0.898219696434944	-0.80952380952381	0.791039852105472	0	-0.826362120720149	-0.833333333333333	0.738095238095238	0	-0.857142857142857	0	0.927105069301107	0	0.763762615825973	0.86248869203413	0.833333333333333	0	0.80952380952381	0.86248869203413	0.887856006505722	-0.707527552887687	0.913223320977314	0	0.904761904761905	0	0	0.898219696434944	0.829515062006253	0.853912563829967	-0.829515062006253	0.837121377562538	0.902707567477393	0	0.86248869203413	-0.756322556535113	0	0.754504545005353	0.732588631506546	-0.802409595481884	0.887856006505722	0	0.86248869203413	0.730552019767088	0	0.738095238095238	0.811754063090946	0	0	0	0	0	0	0	0	0	0	0	0.732588631506546	0	0	0.763762615825973	0	0	0	0
FUNasv12	0.80952380952381	0.952380952380952	0.928571428571429	0.738095238095238	0.904761904761905	-0.880952380952381	-0.833333333333333	0	0	0	0	-0.738095238095238	0	-0.761904761904762	0	0.857142857142857	0	0	0.833333333333333	0	0	1	0	0	-0.761904761904762	-0.80952380952381	0	0	0.833333333333333	0.928571428571429	0	0	-0.952380952380952	0	0.761904761904762	0	0	0	0	0	0.738095238095238	0	-0.761904761904762	0	0	0.857142857142857	0.833333333333333	-0.730552019767088	0.714285714285714	0.904761904761905	0	0.928571428571429	0.80952380952381	0.928571428571429	0.780720058358827	-0.80952380952381	-0.913223320977314	0	0	0.738095238095238	-0.928571428571429	0	0	0.80511756018254	0.802409595481884	0.80952380952381	0	0	-0.880952380952381	0	0	-0.778457070243618	0.738095238095238	0	0	0.742528282386221	0.714285714285714	-0.714285714285714	0	0.928571428571429	0	-0.95150257112482	0	0	-0.786386748619354	-0.761904761904762	0	-0.928571428571429	-0.837121377562538	-0.913223320977314	0.756322556535113	-0.887856006505722	0	-0.738095238095238	0	0	0	0	-0.853912563829967	0	-0.86248869203413	-0.7319250547114	0	-0.913223320977314	0	0	-0.826362120720149	-0.732588631506546	0	-0.913223320977314	0	-0.913223320977314	-0.898219696434944	0	-0.714285714285714	-0.86248869203413	0	0	0	0	-0.718575757147955	0	0	0	0	0	0	-0.732588631506546	0	0	-0.763762615825973	0	0	0	0
FUNasv14	0	0.785714285714286	0	0	0	-0.761904761904762	-0.785714285714286	0	0	0	-0.833333333333333	0	0	0	0.80952380952381	0.738095238095238	0	0	0	0	0	0	0	0	-0.738095238095238	-0.80952380952381	0	0	0	0	0	0	0	0	0.976190476190476	0	0	0	0.761904761904762	-0.785714285714286	0.80952380952381	0	0	-0.714285714285714	0	0	0	0	0	0.714285714285714	0	0	0	0.738095238095238	0	-0.80952380952381	0	0	0.7319250547114	0	0	0	0	0	0	0	0	0	0	0.714285714285714	0	-0.862290908577547	0	0	0	0	0.880952380952381	-0.761904761904762	0	0	0	0	0	0	0	0	0	0	0	-0.773703091383558	0	0	0	-0.80952380952381	0	-0.732588631506546	-0.718575757147955	-0.707527552887687	0	0.780720058358827	-0.79907040585515	-0.780720058358827	0	-0.849805034798334	0.707527552887687	0	0	0	0.790433332862751	-0.773703091383558	0	-0.849805034798334	-0.754504545005353	0	-0.761904761904762	-0.79907040585515	-0.732588631506546	0	0	0	0	0	0	0	0	0	0	0	-0.763762615825973	0	0	0	0	0	-0.732588631506546
FUNasv16	-0.928571428571429	0	0	0	-0.833333333333333	0	0	0	0	0	0.785714285714286	0.785714285714286	0	0.928571428571429	-0.761904761904762	-0.785714285714286	-0.976190476190476	0	-0.80952380952381	-0.738095238095238	0	0	-0.738095238095238	0	0.738095238095238	0	0	0.785714285714286	-0.904761904761905	0	0	0	0.738095238095238	0	0	0	0	0	-0.785714285714286	0.761904761904762	-0.761904761904762	0	0	0.738095238095238	0.714285714285714	-0.738095238095238	0	0.826362120720149	-0.833333333333333	-0.833333333333333	0	0	-0.880952380952381	0	-0.829515062006253	0	0	0	-0.707527552887687	-0.714285714285714	0	0	0	-0.902707567477393	0	-0.904761904761905	0.785714285714286	0.780720058358827	0	0	0	0	-0.714285714285714	0	0	0	0	0.785714285714286	-0.780720058358827	0	0	0	0	0	0.761019434147762	0	0	0	0.761019434147762	0.735652119676169	-0.853912563829967	0.710284805204577	0	0	0	0	0	0.7319250547114	0.707527552887687	-0.7319250547114	0.786386748619354	0	0	0.761019434147762	-0.80511756018254	0	0	0	-0.730552019767088	0.735652119676169	0	0.761019434147762	0.802409595481884	0	0.785714285714286	0.811754063090946	0	0	0	0	0.886243433815812	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FUNasv20	-0.714285714285714	-0.714285714285714	0	0	0	0.738095238095238	0.738095238095238	0	-0.833333333333333	0.785714285714286	0	0.761904761904762	0	0.857142857142857	-0.904761904761905	-0.761904761904762	-0.761904761904762	-0.80952380952381	-0.738095238095238	-0.80952380952381	-0.80952380952381	0	0	0	0	0.761904761904762	0	0	0	0	-0.833333333333333	0.80952380952381	0	0	-0.904761904761905	0	0	0	-0.928571428571429	0.904761904761905	-0.785714285714286	0	0.714285714285714	0.952380952380952	0.880952380952381	0	0	0	-0.80952380952381	-0.761904761904762	0	0	-0.80952380952381	0	-0.80511756018254	0.761904761904762	0	-0.714285714285714	-0.927105069301107	0	0	0	0.853912563829967	-0.756322556535113	0	-0.761904761904762	0.80952380952381	0	0	-0.880952380952381	0	0.742528282386221	-0.880952380952381	0	0	-0.874267171196679	-0.833333333333333	0.952380952380952	0	0	-0.7319250547114	0	-0.714285714285714	0	0.761019434147762	0	0	0	0.761019434147762	0.735652119676169	-0.902707567477393	0.710284805204577	0	0.833333333333333	0	0	0.742528282386221	0.87831006565368	0	-0.95150257112482	0.786386748619354	0.80511756018254	0	0.761019434147762	-0.87831006565368	0	0	0	-0.946124746911475	0.735652119676169	0	0.761019434147762	0.790433332862751	0	0.952380952380952	0.811754063090946	0	0	0	0	0.874267171196679	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FUNasv22	0	-0.738095238095238	-0.714285714285714	0	-0.761904761904762	0	0.738095238095238	-0.738095238095238	0	0.785714285714286	0.761904761904762	0	0	0.80952380952381	-0.714285714285714	-0.833333333333333	-0.833333333333333	-0.714285714285714	-0.928571428571429	-0.857142857142857	-0.714285714285714	-0.738095238095238	-0.833333333333333	0	0	0	0	0.738095238095238	-0.761904761904762	-0.833333333333333	-0.904761904761905	0.738095238095238	0.80952380952381	0	0	0	0	0	-0.857142857142857	0.80952380952381	0	0	0.785714285714286	0.880952380952381	0	0	0	0.778457070243618	-0.761904761904762	-0.785714285714286	0	-0.857142857142857	-0.833333333333333	-0.761904761904762	-0.975900072948533	0	0.761019434147762	0	0	0	0.833333333333333	0	0	-0.95150257112482	0	-0.880952380952381	0.904761904761905	0.853912563829967	0.738095238095238	-0.785714285714286	0	0	-0.833333333333333	0.736485379546474	0	-0.922172221673209	0	0.857142857142857	-0.87831006565368	-0.833333333333333	0	0.756322556535113	-0.714285714285714	0.791039852105472	0.86248869203413	0	0	0.714285714285714	0.761019434147762	0.761019434147762	-0.80511756018254	0.811754063090946	0	0	0	0	0	0.853912563829967	0.829515062006253	-0.87831006565368	0.710284805204577	0.707527552887687	0	0	-0.853912563829967	0	0.730552019767088	0	-0.814385858101016	0.761019434147762	0	0	0.802409595481884	0	0.857142857142857	0.786386748619354	0	0	0	0	0.838338383339281	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FUNasv23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.714285714285714	0	0	0	0	0	0	0	0	0	0	0.976190476190476	0	0.976190476190476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.80511756018254	0	0	0	0	0	0	0	0	0	0	0.829515062006253	0	0	0	0	0	0	0	0	0	0	0	0	0	0.732588631506546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.763762615825973	0	0	0
FUNasv25	-0.857142857142857	-0.761904761904762	0	0	-0.833333333333333	0	0	-0.761904761904762	0	0.928571428571429	0.857142857142857	0.80952380952381	0	0	-0.761904761904762	-0.80952380952381	-0.904761904761905	0	-0.880952380952381	0	0	-0.761904761904762	-0.761904761904762	0	0	0	0	0	-0.833333333333333	0	0	0	0.738095238095238	0	-0.761904761904762	0	0	0	-0.785714285714286	0.761904761904762	-0.738095238095238	0	0	0.80952380952381	0	-0.714285714285714	0	0.730552019767088	-0.857142857142857	-0.904761904761905	0	-0.714285714285714	-0.952380952380952	-0.714285714285714	-0.853912563829967	0	0	0	-0.707527552887687	0	0	0	0	-0.902707567477393	-0.790433332862751	-0.904761904761905	0.761904761904762	0	0	-0.857142857142857	0	0	-0.833333333333333	0	0	-0.826362120720149	0	0.904761904761905	-0.80511756018254	0	0	0.7319250547114	-0.80952380952381	0	0.761019434147762	0	0	0	0.761019434147762	0.735652119676169	-0.95150257112482	0.710284805204577	0	0	0	0	0	0.7319250547114	0	-0.80511756018254	0.786386748619354	0	0	0.761019434147762	-0.7319250547114	0	0	0	-0.802409595481884	0.735652119676169	0	0.761019434147762	0.886243433815812	0	0.904761904761905	0.811754063090946	0	0	0	0	0.97007727214974	0	0	0	0	0	0	0	0	0	0	0	0	0	0
