	FUNasv1	FUNasv5	FUNasv6	FUNasv7	FUNasv8	FUNasv9	FUNasv10	FUNasv12	FUNasv14	FUNasv15	FUNasv16	FUNasv17	FUNasv20	FUNasv23	FUNasv25	FUNasv27	FUNasv30	FUNasv33	FUNasv38	FUNasv39	FUNasv43	FUNasv48	FUNasv49	FUNasv50	FUNasv51	FUNasv52	FUNasv53	FUNasv55	FUNasv58	FUNasv61	FUNasv62	FUNasv63	FUNasv65	FUNasv66	FUNasv68	FUNasv71	FUNasv72	FUNasv75	FUNasv77	FUNasv79	FUNasv85	FUNasv95	FUNasv99	FUNasv103	FUNasv104	FUNasv114	FUNasv115	FUNasv116	FUNasv124	FUNasv127	FUNasv128	FUNasv129	FUNasv134	FUNasv135	FUNasv140	FUNasv142	FUNasv155	FUNasv160	FUNasv162	FUNasv164	FUNasv168	FUNasv169	FUNasv176	FUNasv179	FUNasv189	FUNasv202	FUNasv203	FUNasv204	FUNasv206	FUNasv208	FUNasv209	FUNasv214	FUNasv216	FUNasv220	FUNasv227	FUNasv229	FUNasv234	FUNasv235	FUNasv240	FUNasv241	FUNasv242	FUNasv247	FUNasv262	FUNasv292	FUNasv293	FUNasv294	FUNasv296	FUNasv307	FUNasv318	FUNasv320	FUNasv323	FUNasv331	FUNasv341	FUNasv343	FUNasv344	FUNasv356	FUNasv372	FUNasv374	FUNasv377	FUNasv387	FUNasv395	FUNasv401	FUNasv408	FUNasv411	FUNasv412	FUNasv443	FUNasv448	FUNasv456	FUNasv490	FUNasv499	FUNasv511	FUNasv537	FUNasv554	FUNasv578	FUNasv599	FUNasv600	FUNasv615	FUNasv683	FUNasv684
FUNasv20	-0.714285714285714	-0.714285714285714	0	0	0	0.738095238095238	0.738095238095238	0	-0.833333333333333	0	0.785714285714286	0	0	0	0.857142857142857	-0.761904761904762	-0.761904761904762	-0.80952380952381	-0.80952380952381	-0.80952380952381	0	0	-0.874267171196679	0	0.761904761904762	0	0	0	0	0	0	-0.833333333333333	0.80952380952381	0	0	-0.904761904761905	0	0	0	0	-0.928571428571429	0.904761904761905	-0.785714285714286	0.714285714285714	0.952380952380952	0	0	0	-0.761904761904762	-0.756322556535113	0	0	0	-0.80952380952381	-0.87831006565368	0	0.761904761904762	-0.80952380952381	0	-0.714285714285714	0	0	0	0	0.853912563829967	-0.761904761904762	0.80952380952381	0	0	-0.880952380952381	0	0.742528282386221	0	0	-0.833333333333333	0.952380952380952	0	-0.7319250547114	0	-0.714285714285714	0	0.761019434147762	0	0	0.761019434147762	0.735652119676169	0.710284805204577	0.833333333333333	0.742528282386221	0.87831006565368	0	0.791039852105472	0.786386748619354	0.80511756018254	0	0.761019434147762	0	0	-0.946124746911475	0.735652119676169	0	0	0	0.761019434147762	0.790433332862751	0	0.952380952380952	0.811754063090946	0	0.874267171196679	0	0	0.84559432466447	0	0	0	0	0.791039852105472	0
FUNasv23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.976190476190476	0	0	0	0.976190476190476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.80511756018254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FUNasv25	-0.857142857142857	-0.761904761904762	0	0	-0.833333333333333	0	0	-0.761904761904762	0	0	0.928571428571429	0	0.857142857142857	0	0	-0.80952380952381	-0.904761904761905	0	0	0	-0.761904761904762	0	-0.730552019767088	0	0	0	0	0	-0.833333333333333	0	0	0	0	0.738095238095238	0	-0.761904761904762	-0.761904761904762	-0.790433332862751	0	0	-0.785714285714286	0.761904761904762	-0.738095238095238	0	0.80952380952381	-0.714285714285714	0	0.730552019767088	-0.904761904761905	-0.902707567477393	0	-0.714285714285714	0	-0.952380952380952	0	-0.714285714285714	0	0	0	0	0	0	0	0	0	-0.904761904761905	0.761904761904762	0	0	-0.857142857142857	0	0	0	0	0	0.904761904761905	0	0	0.7319250547114	-0.80952380952381	0	0.761019434147762	0	0	0.761019434147762	0.735652119676169	0.710284805204577	0	0	0.7319250547114	0	0.791039852105472	0.786386748619354	0	0.780720058358827	0.761019434147762	0	0	-0.802409595481884	0.735652119676169	0	0	0	0.761019434147762	0.886243433815812	0	0.904761904761905	0.811754063090946	0	0.97007727214974	0	0	0.84559432466447	0	0	0	0	0.791039852105472	0
FUNasv27	0.857142857142857	0.904761904761905	0	0.80952380952381	0.952380952380952	0	-0.738095238095238	0.857142857142857	0.738095238095238	0	-0.785714285714286	0.761904761904762	-0.761904761904762	0	-0.80952380952381	0	0.714285714285714	0	0.761904761904762	0	0.857142857142857	0	0.814385858101016	-0.714285714285714	0	0	0.910195959054077	0	0.928571428571429	0	0.928571428571429	0.80952380952381	0	-0.904761904761905	0	0.80952380952381	0	0	0	0	0.857142857142857	-0.833333333333333	0	-0.714285714285714	-0.761904761904762	0.928571428571429	0.880952380952381	0	0.952380952380952	0.829515062006253	0	0.833333333333333	0	0.857142857142857	0	0.928571428571429	0	0	-0.761019434147762	0	0	-0.833333333333333	0	0.707527552887687	0	0.952380952380952	-0.80952380952381	-0.707527552887687	0	0.833333333333333	0	0	0	0	0	-0.857142857142857	0.928571428571429	0	-0.756322556535113	0.833333333333333	0	0	0	0	-0.735652119676169	-0.86248869203413	-0.786386748619354	0	0	-0.756322556535113	-0.756322556535113	-0.763762615825973	-0.811754063090946	0	0	-0.86248869203413	0	0	0.778457070243618	-0.86248869203413	0	0	0	-0.86248869203413	-0.97007727214974	0	-0.857142857142857	-0.913223320977314	0	-0.718575757147955	0	0	-0.791039852105472	0	0	0	0	-0.763762615825973	0
FUNasv30	0.857142857142857	0	0	0	0.761904761904762	0	0	0	0	0	-0.976190476190476	0	-0.761904761904762	0	-0.904761904761905	0.714285714285714	0	0.738095238095238	0.761904761904762	0	0	0	0	-0.714285714285714	0	0	0	-0.80952380952381	0.833333333333333	0	0	0.714285714285714	-0.714285714285714	-0.714285714285714	0	0	0.714285714285714	0.898219696434944	0	0	0.761904761904762	-0.738095238095238	0.738095238095238	0	-0.761904761904762	0	0	-0.898219696434944	0.761904761904762	0.829515062006253	0	0	0	0.857142857142857	0	0	0	0	-0.710284805204577	0	0.738095238095238	0	0	0	0	0.857142857142857	-0.80952380952381	-0.80511756018254	0	0	0	0	0	0	0	-0.761904761904762	0	0	0	0	0	-0.837121377562538	-0.714285714285714	0	-0.786386748619354	-0.710284805204577	-0.735652119676169	0	0	-0.756322556535113	-0.756322556535113	-0.763762615825973	-0.761019434147762	0	-0.7319250547114	-0.710284805204577	0	0	0.730552019767088	-0.710284805204577	0	0	0	-0.710284805204577	-0.730552019767088	0	-0.761904761904762	-0.761019434147762	0	-0.910195959054077	0	0	-0.791039852105472	0	0	0	0	-0.763762615825973	0
FUNasv33	0	0	0	0	0	-0.857142857142857	-0.857142857142857	0	0	0	0	0	-0.80952380952381	0	0	0	0.738095238095238	0	0.80952380952381	0.785714285714286	0	0.833333333333333	0.790433332862751	-0.785714285714286	-0.904761904761905	0	0	0	0	0	0	0.785714285714286	-0.928571428571429	0	0	0.761904761904762	0	0.802409595481884	0	0	0.738095238095238	-0.761904761904762	0.857142857142857	-0.880952380952381	-0.833333333333333	0	0	-0.862290908577547	0	0.707527552887687	0	0.714285714285714	0	0	0.853912563829967	0	-0.904761904761905	0.952380952380952	-0.86248869203413	0.952380952380952	0.857142857142857	-0.714285714285714	0	0	-0.780720058358827	0	-0.761904761904762	0	0	0	0	-0.850314645958414	-0.87287156094397	0	0.880952380952381	-0.714285714285714	0	0	-0.80511756018254	0	-0.84559432466447	-0.938590635448906	-0.880952380952381	0	-0.887856006505722	-0.761019434147762	-0.837121377562538	-0.928571428571429	-0.97007727214974	-0.853912563829967	-0.80511756018254	0	-0.811754063090946	-0.927105069301107	0	-0.761019434147762	0	0	0.826362120720149	-0.761019434147762	0	0	0	-0.761019434147762	0	0	-0.714285714285714	-0.710284805204577	0	-0.778457070243618	0	0	0	0	0	0	0	0	0
FUNasv38	0.714285714285714	0	0	0	0	0	-0.785714285714286	0	0	0	-0.738095238095238	0	-0.80952380952381	0	0	0.761904761904762	0.761904761904762	0.80952380952381	0	0.952380952380952	0	0	0	-0.833333333333333	-0.761904761904762	0	0	0	0.738095238095238	0	0.785714285714286	0.976190476190476	-0.904761904761905	-0.738095238095238	0	0.714285714285714	0	0	0	0	0.880952380952381	-0.80952380952381	0	-0.80952380952381	-0.857142857142857	0	0	-0.754504545005353	0	0	0	0.761904761904762	0	0	0	0	-0.761904761904762	0.714285714285714	-0.786386748619354	0.80952380952381	0.857142857142857	-0.738095238095238	0	0	-0.707527552887687	0.761904761904762	-0.80952380952381	0	0	0	0	-0.790433332862751	0	0	0	-0.761904761904762	0.785714285714286	0	0	0	-0.763762615825973	-0.811754063090946	-0.785714285714286	0	-0.710284805204577	-0.837121377562538	-0.86248869203413	0	-0.790433332862751	-0.975900072948533	-0.756322556535113	-0.84559432466447	0	-0.756322556535113	0	-0.710284805204577	0	0	0.778457070243618	-0.837121377562538	-0.732588631506546	0	-0.763762615825973	-0.710284805204577	0	-0.763762615825973	-0.761904761904762	-0.86248869203413	0	0	0	0	-0.791039852105472	0	0	0	0	-0.84559432466447	0
FUNasv39	0	0	0	0	0	0	0	0	0	0	0	0	-0.80952380952381	0	0	0	0	0.785714285714286	0.952380952380952	0	0	0	0	-0.785714285714286	0	0	0	0	0	0	0	0.904761904761905	-0.904761904761905	0	0	0	0	0	0	0	0.80952380952381	-0.714285714285714	0	0	-0.80952380952381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.738095238095238	0.80952380952381	0	0	0	-0.7319250547114	0	0	0	0	0	0	-0.730552019767088	0	0	0	0	0	0.707527552887687	0	0	0	0	-0.714285714285714	0	0	-0.722968462440373	-0.748335776911965	0	-0.730552019767088	-0.95150257112482	0	-0.84559432466447	0	0	0	0	0	0	0	-0.722968462440373	-0.732588631506546	0	-0.763762615825973	0	0	-0.763762615825973	0	-0.773703091383558	0	0	0	0	-0.791039852105472	0	0	0	0	-0.84559432466447	0
FUNasv43	0.80952380952381	0.952380952380952	0.928571428571429	0.738095238095238	0.904761904761905	-0.880952380952381	-0.833333333333333	1	0	0	0	0.785714285714286	0	0	-0.761904761904762	0.857142857142857	0	0	0	0	0	0	0.766480807624486	-0.761904761904762	-0.80952380952381	0	0.886243433815812	0	0.833333333333333	0.80511756018254	0.928571428571429	0	0	-0.952380952380952	0	0.761904761904762	0	0.778457070243618	0	0	0	0	0.738095238095238	-0.761904761904762	0	0.857142857142857	0.833333333333333	-0.730552019767088	0.904761904761905	0.87831006565368	0	0.928571428571429	0.904761904761905	0.80952380952381	0	0.928571428571429	-0.80952380952381	0	-0.913223320977314	0	0.738095238095238	-0.928571428571429	0	0.780720058358827	0	0.80952380952381	0	0	-0.880952380952381	0	0	-0.778457070243618	0	0	0.714285714285714	-0.714285714285714	0.928571428571429	0	-0.95150257112482	0	0	-0.786386748619354	-0.761904761904762	-0.928571428571429	-0.837121377562538	-0.913223320977314	-0.887856006505722	-0.738095238095238	0	0	-0.853912563829967	0	-0.86248869203413	-0.7319250547114	0	-0.913223320977314	-0.826362120720149	-0.732588631506546	0	-0.913223320977314	0	0	0	-0.913223320977314	-0.898219696434944	0	-0.714285714285714	-0.86248869203413	0	-0.718575757147955	0	0	0	-0.732588631506546	-0.763762615825973	0	0	0	0
FUNasv48	0	0	0	0	0	-0.761904761904762	-0.738095238095238	0	0	0	0	0	0	0	0	0	0	0.833333333333333	0	0	0	0	0	-0.904761904761905	-0.80952380952381	0	0	0	0	0	0	0	-0.833333333333333	0	0	0	0	0.790433332862751	0	0	0	0	0.80952380952381	-0.738095238095238	0	0	0	-0.862290908577547	0	0	0	0	0.714285714285714	0	0	0	-0.80952380952381	0.80952380952381	-0.875172349269926	0.904761904761905	0.952380952380952	0	0	0	0	0	0	0	0	0	0	-0.874267171196679	-0.791039852105472	0	0.761904761904762	0	0	0	-0.756322556535113	0	-0.763762615825973	-0.79907040585515	-0.976190476190476	0	-0.773703091383558	-0.79907040585515	-0.849805034798334	-0.714285714285714	-0.898219696434944	0	-0.780720058358827	0	-0.722968462440373	-0.756322556535113	0	-0.748335776911965	0	-0.732588631506546	0	-0.79907040585515	0	0	0	-0.748335776911965	0	0	0	0	0	0	0	0	0	-0.732588631506546	-0.763762615825973	0	0	0	0
