	BACasv1	BACasv2	BACasv3	BACasv4	BACasv5	BACasv6	BACasv8	BACasv9	BACasv10	BACasv11	BACasv12	BACasv13	BACasv15	BACasv16	BACasv17	BACasv18	BACasv19	BACasv20	BACasv21	BACasv22	BACasv23	BACasv25	BACasv26	BACasv27	BACasv28	BACasv29	BACasv30	BACasv31	BACasv32	BACasv33	BACasv36	BACasv37	BACasv39	BACasv42	BACasv46	BACasv47	BACasv48	BACasv49	BACasv50	BACasv54	BACasv66	BACasv67	BACasv70	BACasv73	BACasv76	BACasv77	BACasv82	BACasv89	BACasv90	BACasv91	BACasv92	BACasv96	BACasv99	BACasv100	BACasv101	BACasv103	BACasv110	BACasv114	BACasv123	BACasv125	BACasv126	BACasv128	BACasv129	BACasv131	BACasv142	BACasv143	BACasv145	BACasv148	BACasv157	BACasv160	BACasv161	BACasv173	BACasv174	BACasv176	BACasv187	BACasv188	BACasv207	BACasv211	BACasv213	BACasv223	BACasv230	BACasv231	BACasv238	BACasv267	BACasv285	BACasv288	BACasv309	BACasv324	BACasv331	BACasv367	BACasv388	BACasv404	BACasv428	BACasv472	BACasv493	BACasv556	BACasv561	BACasv562	BACasv569	BACasv610	BACasv637	BACasv775	BACasv800	BACasv903	BACasv962	BACasv996	FUNasv2	FUNasv3	FUNasv5	FUNasv6	FUNasv7	FUNasv9	FUNasv10	FUNasv11	FUNasv12	FUNasv14	FUNasv16	FUNasv17	FUNasv19	FUNasv20	FUNasv22	FUNasv23	FUNasv24	FUNasv27	FUNasv28	FUNasv29	FUNasv30	FUNasv31	FUNasv32	FUNasv34	FUNasv36	FUNasv38	FUNasv39	FUNasv40	FUNasv41	FUNasv43	FUNasv44	FUNasv45	FUNasv47	FUNasv49	FUNasv51	FUNasv52	FUNasv53	FUNasv54	FUNasv55	FUNasv58	FUNasv62	FUNasv63	FUNasv66	FUNasv67	FUNasv68	FUNasv75	FUNasv76	FUNasv77	FUNasv80	FUNasv81	FUNasv85	FUNasv86	FUNasv87	FUNasv88	FUNasv89	FUNasv91	FUNasv96	FUNasv98	FUNasv101	FUNasv102	FUNasv103	FUNasv132	FUNasv138	FUNasv139	FUNasv143	FUNasv146	FUNasv156	FUNasv158	FUNasv163	FUNasv166	FUNasv172	FUNasv174	FUNasv176	FUNasv178	FUNasv182	FUNasv186	FUNasv188	FUNasv192	FUNasv196	FUNasv203	FUNasv206	FUNasv207	FUNasv209	FUNasv210	FUNasv211	FUNasv214	FUNasv216	FUNasv218	FUNasv220	FUNasv223	FUNasv224	FUNasv229	FUNasv230	FUNasv239	FUNasv246	FUNasv251	FUNasv254	FUNasv257	FUNasv263	FUNasv277	FUNasv286	FUNasv291	FUNasv296	FUNasv301	FUNasv317	FUNasv325	FUNasv330	FUNasv340	FUNasv347	FUNasv359	FUNasv361	FUNasv364	FUNasv370	FUNasv371	FUNasv406	FUNasv413	FUNasv419	FUNasv427	FUNasv443	FUNasv469	FUNasv485	FUNasv513	FUNasv515	FUNasv516	FUNasv544	FUNasv550	FUNasv569	FUNasv588	FUNasv646	FUNasv647	FUNasv687	FUNasv704	FUNasv705	FUNasv727	FUNasv728	FUNasv760	FUNasv761	FUNasv762	ProASV3	ProASV33	ProASV34	ProASV41	ProASV61	ProASV72	ProASV77	ProASV91	ProASV92	ProASV95	ProASV97	ProASV107	ProASV115	ProASV144	ProASV164	ProASV168	ProASV182	ProASV187	ProASV188	ProASV190	ProASV193	ProASV199	ProASV210	ProASV226	ProASV227	ProASV234	ProASV242	ProASV244	ProASV246	ProASV247	ProASV248	ProASV253	ProASV256	Cephalobus	Acrobeloides	Ditylenchus	Aphelenchus	Tylencholaimus	Eudorylaimus	Epidorylaimus	Aporcelaimellus
BACasv46	0.714285714285714	-0.880952380952381	0.761904761904762	-0.880952380952381	0	-0.857142857142857	0.928571428571429	1	-0.880952380952381	0	-0.802409595481884	-0.714285714285714	0	0.829515062006253	0.904761904761905	0	-0.833333333333333	0	-0.857142857142857	-0.738095238095238	0	-0.880952380952381	0	-0.761904761904762	0.904761904761905	-0.80952380952381	-0.785714285714286	0	0	0.80952380952381	-0.952380952380952	0	0.857142857142857	-0.738095238095238	0	0	0	0	0	-0.714285714285714	0.857142857142857	-0.833333333333333	0	-0.928571428571429	-0.785714285714286	0	0	-0.928571428571429	-0.880952380952381	-0.833333333333333	-0.904761904761905	-0.738095238095238	0	0	-0.904761904761905	0.833333333333333	-0.761904761904762	-0.714285714285714	0	0.904761904761905	0	-0.80952380952381	-0.738095238095238	0.898219696434944	0.857142857142857	0	0.952380952380952	-0.80952380952381	0	0	0	-0.837121377562538	0	-0.857142857142857	0.785714285714286	0	-0.86248869203413	0	0	0	0	0	0	0	0	0.826362120720149	0	0.886243433815812	0	0	0.857142857142857	0	0	0	0	0	0	-0.922172221673209	0	0	0	0	0	0	0	0	0.714285714285714	0	0	0.952380952380952	0.761904761904762	0	0	0	0.714285714285714	0.738095238095238	0	0	0	0	0	0	-0.785714285714286	0	0	-0.761904761904762	0.714285714285714	-0.976190476190476	0	0	0	0.904761904761905	0	0.928571428571429	0	0.761904761904762	0	0.754504545005353	0	0.756322556535113	0	-0.80952380952381	0	0	0.880952380952381	0	0.738095238095238	0.738095238095238	0	0	0.761904761904762	0	0	0	-0.738095238095238	0.785714285714286	0	0.857142857142857	0.857142857142857	0	0	-0.833333333333333	0	0.928571428571429	0	0.80952380952381	-0.833333333333333	-0.785714285714286	0	0	-0.86248869203413	0	-0.714285714285714	0	-0.97007727214974	0	0	0	0	0	0	-0.829515062006253	0.761904761904762	0	0	-0.778457070243618	0	-0.850314645958414	0	0	0	-0.707527552887687	0	0	0.952380952380952	0	-0.738095238095238	-0.902707567477393	0.7319250547114	0	0	0.761904761904762	0.714285714285714	0	0	-0.761904761904762	-0.761019434147762	0	-0.761019434147762	-0.86248869203413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.833333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv47	0	-0.785714285714286	0	0	0	0	0	0	0	0	-0.766480807624486	-0.857142857142857	0	0.853912563829967	0	0	0	0	-0.761904761904762	0	0	0	0	0	0	0	0	-0.928571428571429	0.833333333333333	0	0	0	0	-0.761904761904762	0	0	0	0.761904761904762	0	0	0	0	0	0	0	0	0	0	-0.785714285714286	0	0	0	0	-0.786386748619354	0	0.738095238095238	0	0	0	0	0	-0.714285714285714	0	0	0.761904761904762	0	0	-0.833333333333333	0	0	-0.791039852105472	0	0	-0.761904761904762	0.80952380952381	0	0	0	-0.786386748619354	0	-0.707527552887687	-0.738095238095238	0	0	0	0	0	0	0	-0.84559432466447	0	0	0	0	0	0	0	-0.766480807624486	0	0	0	0	0	0	0	0	0.857142857142857	0	0.80952380952381	0	0	0	0	0	0.738095238095238	0.761904761904762	0	0	0	0	0	0	0	0	0	0	0	0	0.80952380952381	0.904761904761905	0	0	-0.761904761904762	0.714285714285714	0	0	-0.714285714285714	0.718575757147955	0	0.780720058358827	0	0	0	0	0.785714285714286	0	0	0.880952380952381	0	0	0	-0.761904761904762	0	0	0	0	0	0.761904761904762	0	0	-0.80952380952381	0	0	0	0	0	0	-0.80952380952381	0	0	0	0.730552019767088	0	0	0	0	0	0	0	0	0	0	0	-0.826362120720149	0	0	0	-0.754504545005353	0	0	0	0	-0.763762615825973	0.714285714285714	0	0	0	0	0.756322556535113	0	0	0	0	0	0	0	-0.722968462440373	0	0	-0.824437720326742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.707527552887687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.761904761904762	0	0	0	0	0	0	0	0.880952380952381	0	0	0	0.714285714285714	0	0	0	0	0	0	0	0	0	0	0	-0.738095238095238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.738095238095238	0	0	0	0	0	0	0	0	0.952380952380952	0	0	0	0	0	0	0	0	0	0	0	0	-0.761904761904762	0	0	-0.738095238095238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.761904761904762	0	0	0	-0.707527552887687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv49	0	0	0	0	0	0	0	0	0	0	0	-0.738095238095238	0	0	0	0	0	0	0	0	0	0	-0.738095238095238	0	0	0	0	-0.785714285714286	0.833333333333333	0	0	0	0	0	0	0.761904761904762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.780720058358827	0	0	0	0	0	0	0	0	0	0	0	0	0.761904761904762	0	0	0	0	-0.763762615825973	0	0	0	0	0	0	0	0	0	-0.902707567477393	-0.976190476190476	0	0	0	0	0	0	0	-0.791039852105472	0	0	0	0	0	-0.763762615825973	0	0	0	0	0	0	0	0	0	0	0.714285714285714	0	0.80952380952381	0	0	0	0	0	0	0.714285714285714	0	0	0	0	0	0	0	-0.761904761904762	0	0	0	0	0.80952380952381	0.80952380952381	0	0	-0.928571428571429	0	-0.714285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.857142857142857	-0.714285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.754504545005353	0	0	0	0	0	0	0	0	0	0	0	-0.850314645958414	0	0	0	0	0	0	0.7319250547114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.730552019767088	0	0	0	0	0	0	0	0	0	0	0	0	-0.732588631506546	0	0	0	-0.763762615825973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.732588631506546	0	0	-0.763762615825973	0	0	0	0	0	-0.928571428571429	0	0	0	-0.927105069301107	0	-0.732588631506546	0	-0.763762615825973	0	-0.753443930252225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.80952380952381	0	0	-0.763762615825973	0
BACasv50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.714285714285714	0	0	0	0	0	0	0	0	0	0.707527552887687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.785714285714286	0	0	0	0	0	0	0.722968462440373	0	0	0	0	0	-0.761904761904762	0	0	0	0	0	0	0	0	0	0.722968462440373	0	0	0.80511756018254	0	0	0	0	0	0	0.763762615825973	0	0	0	0	0.785714285714286	0	0	0	0	0	0	0	0	0.761904761904762	0	0	0	0	0	0	0	0	0	0	0	0	0	0.714285714285714	0	0	0	0	0	0	0	0.742528282386221	0	0.756322556535113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.714285714285714	0	0	0	0	0	-0.80952380952381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.904761904761905	0	0	0	0	0	0	0	0	0.952380952380952	0	0.791039852105472	0	0	0.7319250547114	0.80511756018254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.778457070243618	0	0	0	0	0	0	0	0	0
BACasv54	-0.857142857142857	0	-0.785714285714286	0	0.904761904761905	0.785714285714286	-0.714285714285714	-0.714285714285714	0.880952380952381	0.976190476190476	0.778457070243618	0.785714285714286	0	0	-0.833333333333333	-0.80952380952381	0.833333333333333	0	0.857142857142857	0.880952380952381	0	0.761904761904762	0	0.976190476190476	0	0.80952380952381	0.785714285714286	0.80952380952381	-0.857142857142857	-0.80952380952381	0	0	0	0.761904761904762	-0.714285714285714	0	0	0	0	0	-0.785714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0.786386748619354	0	0	0.785714285714286	0	0.761904761904762	0	0	0.833333333333333	0	0	0	0	-0.738095238095238	0.761904761904762	0	0	0.87287156094397	0.761019434147762	0	0.857142857142857	-0.80952380952381	0	0.786386748619354	0	0.786386748619354	0	0.7319250547114	0	0	0	0	-0.742528282386221	0	0	0.80511756018254	0.84559432466447	0	0	0.748335776911965	0	0	0.732588631506546	0	0.754504545005353	0	0	0.710284805204577	0	0	0	0	0	-0.714285714285714	0	-0.80952380952381	0	0	0	0	0.778457070243618	0	-0.738095238095238	0	0	0	0	0	0	0.761904761904762	0	-0.761904761904762	0.904761904761905	0	0	-0.80952380952381	-0.785714285714286	-0.738095238095238	-0.833333333333333	0	-0.738095238095238	0	0	0	-0.718575757147955	0	0	0.80952380952381	0.714285714285714	0	0	-0.714285714285714	0	0	-0.785714285714286	0.756322556535113	0	-0.904761904761905	0.738095238095238	0	0	0	-0.857142857142857	0	-0.857142857142857	0	0	0	0	0	-0.785714285714286	0	-0.761904761904762	0.761904761904762	0.880952380952381	0	-0.785714285714286	0.710284805204577	-0.826362120720149	0.928571428571429	0.707527552887687	0.730552019767088	0	0	0	0	0	0	0.707527552887687	-0.833333333333333	0.730552019767088	0	0	0	0	0	0	0	0.80511756018254	0.84559432466447	0	0	0	0.785714285714286	0.780720058358827	0	0	0	0	-0.928571428571429	0	0	0.833333333333333	0.913223320977314	0	0.837121377562538	0.786386748619354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.763762615825973	0	0	0	0.732588631506546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.763762615825973	0	0	0.732588631506546	0	0	0	0	0	0	0	0	0	0	0	0.763762615825973	0	0.732588631506546	0	0.855605819099985	0	0	0	0	0	0	0	0	0	0	0	0.880952380952381	0	0	0	0	0	0.732588631506546	0
BACasv66	0.785714285714286	0	0.761904761904762	-0.761904761904762	-0.738095238095238	-0.952380952380952	0.928571428571429	0.857142857142857	-0.833333333333333	-0.761904761904762	0	0	0	0.707527552887687	0.80952380952381	0	-0.80952380952381	0	-0.714285714285714	-0.738095238095238	0	-0.904761904761905	0	-0.761904761904762	0.80952380952381	-0.857142857142857	-0.833333333333333	0	0	0.857142857142857	-0.833333333333333	0	0.833333333333333	0	0.857142857142857	0	0	0	0	-0.785714285714286	0	0	0	0	0	0	0	-0.738095238095238	-0.738095238095238	0	-0.857142857142857	-0.738095238095238	0	0	-0.80952380952381	0	-0.857142857142857	0	0	0.857142857142857	0	0	-0.738095238095238	0.718575757147955	0.714285714285714	0	0.761904761904762	0	0	0	0	-0.913223320977314	0	-0.714285714285714	0	0	-0.86248869203413	0	0	-0.791039852105472	0	0	0	0	-0.707527552887687	0.826362120720149	0	0.898219696434944	0	0	0.80952380952381	0	0	0	0	0	0	-0.730552019767088	0	0	0	0	0	0	0	0	0	0	0	0.761904761904762	0	0	0	-0.730552019767088	0.80952380952381	0	0	0	0	0	0.738095238095238	0	-0.833333333333333	0	0	0	0.904761904761905	-0.904761904761905	0	0	0.833333333333333	0.80952380952381	0	0	0	0	-0.785714285714286	0.730552019767088	0	0.780720058358827	-0.833333333333333	-0.857142857142857	0.714285714285714	0	0.738095238095238	0	0.80952380952381	0.714285714285714	-0.780720058358827	0	0.833333333333333	0	0	0.80952380952381	0	0.785714285714286	0.738095238095238	0.714285714285714	0	0.778457070243618	0	-0.738095238095238	0	0.857142857142857	0.738095238095238	0.928571428571429	-0.976190476190476	-0.738095238095238	0	0	-0.938590635448906	0	-0.714285714285714	0	-0.802409595481884	0	0	0	0	0	-0.761904761904762	-0.853912563829967	0.761904761904762	0	0	-0.778457070243618	0	-0.814385858101016	0	0	0	-0.780720058358827	0	0	0.761904761904762	0	-0.857142857142857	-0.853912563829967	0.756322556535113	0	0	0	0.857142857142857	0	0	-0.857142857142857	-0.735652119676169	-0.84559432466447	-0.86248869203413	-0.761019434147762	-0.79907040585515	-0.773703091383558	0	0	0	0	0	-0.84559432466447	0	-0.735652119676169	0	0	-0.84559432466447	0	0	0	-0.84559432466447	0	-0.84559432466447	0	-0.84559432466447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv67	0	0.833333333333333	0	0	0	0.761904761904762	-0.80952380952381	-0.833333333333333	0	0	0.802409595481884	0	0	0	-0.761904761904762	0	0.738095238095238	0	0.738095238095238	0	0.738095238095238	0	0	0	-0.761904761904762	0.738095238095238	0.761904761904762	0	0	-0.738095238095238	0.857142857142857	0.80952380952381	-0.80952380952381	0.714285714285714	-0.833333333333333	0	0	0	0	0	0	0	0	0.80952380952381	0	0	0	0	0.857142857142857	0	0.928571428571429	0	0	0	0.880952380952381	0	0	0	0	-0.785714285714286	0	0	0.761904761904762	-0.886243433815812	0	0	-0.833333333333333	0.761904761904762	0	0	0	0	0	0.738095238095238	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.850314645958414	0	0	-0.904761904761905	0	0	0	0	0	0	0.826362120720149	0	0	0	0	0	0	0	0	0	0	0	-0.833333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.880952380952381	0	0	0	-0.761904761904762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.714285714285714	0	-0.738095238095238	0	0	0	0.714285714285714	0	0	0	0	0.714285714285714	0	0	0	0.710284805204577	0	0	0	0	0	0	0	0	0	0	0	-0.761904761904762	0	0	0	0	0.754504545005353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.735652119676169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.928571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv70	0	0	0	0.738095238095238	0	0	0	0	0.714285714285714	0	0	0.904761904761905	0	-0.829515062006253	0	0	0	0	0	0	0	0.785714285714286	0	0	-0.785714285714286	0	0	0.80952380952381	-0.761904761904762	0	0	0	0	0	0	0	0	0	-0.714285714285714	0	0	0	0	0	0	0	0	0.714285714285714	0	0	0	0.80952380952381	0	0	0	-0.952380952380952	0.714285714285714	0	0	0	0	0.714285714285714	0	0	-0.904761904761905	0	0	0	0	0	0	0.773703091383558	0	0	0	0	0.849805034798334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.785714285714286	0	-0.880952380952381	-0.714285714285714	0	0	0	0.862290908577547	-0.738095238095238	-0.928571428571429	0	0	0	0	0	0	0.880952380952381	0	0	0	0	0	-0.880952380952381	-0.738095238095238	0	0	0	-0.785714285714286	0	0	0	-0.946124746911475	0	-0.829515062006253	0	0.833333333333333	0	0	-0.857142857142857	0	-0.880952380952381	0	0	0.829515062006253	0	0	0	0	0.80952380952381	0	-0.785714285714286	0	-0.80952380952381	0	0	0.738095238095238	0	-0.714285714285714	-0.80952380952381	0	0	0	0	0	0.722968462440373	0	0	0	0.778457070243618	0	0	0	0	0	0.880952380952381	0	0	0	0	0	0	0	0	0	0	0	0	-0.880952380952381	-0.80952380952381	0	0.857142857142857	0.829515062006253	-0.780720058358827	0	0	-0.714285714285714	0	0.833333333333333	0	0	0.773703091383558	0	0.722968462440373	0	0	0	0	0.748335776911965	0	0	0.748335776911965	0	0	0	0.829515062006253	0	0	0.80511756018254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.833333333333333	0	0	0	-0.738095238095238	-0.766480807624486	0	0	0	0	0	0	0	0	0
BACasv73	0	0.904761904761905	0	0.761904761904762	0	0.714285714285714	-0.785714285714286	-0.928571428571429	0.761904761904762	0	0.778457070243618	0.714285714285714	0	-0.853912563829967	-0.880952380952381	0	0.738095238095238	0	0.857142857142857	0	0	0.761904761904762	0	0	-0.880952380952381	0	0	0	0	0	0.904761904761905	0	-0.785714285714286	0	-0.928571428571429	0	0	0	0	0	0	0.80952380952381	0	0	0.714285714285714	0	0	0.857142857142857	0.904761904761905	0.80952380952381	0.80952380952381	0	0	0	0.880952380952381	-0.80952380952381	0	0.714285714285714	0	-0.80952380952381	0	0.761904761904762	0	-0.934148484292342	-0.857142857142857	0	-0.904761904761905	0.833333333333333	0	0	0	0	0	0.857142857142857	-0.785714285714286	0	0	0	0	0	0	0	0	0	0	0	0	-0.730552019767088	0	0	-0.714285714285714	0	0	0	0	0	0	0.946124746911475	0	0	0	0	0	0	0	0	-0.714285714285714	0	0	-0.904761904761905	-0.738095238095238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.880952380952381	0	0	0	-0.880952380952381	0	-0.928571428571429	0	-0.738095238095238	0	0	0	-0.707527552887687	0	0	0	0	-0.904761904761905	0	0	-0.761904761904762	0	0	0	0	0	0	0.833333333333333	-0.714285714285714	0	-0.857142857142857	-0.785714285714286	0	0	0.738095238095238	0	-0.785714285714286	0	0	0	0.785714285714286	0	0	0	0	0	0	0.898219696434944	0	0	0	0	0	0	0	0	0	0	0	0	0.838338383339281	0	0	0	0	0	0	-0.904761904761905	0	0	0.780720058358827	0	0	0	-0.80952380952381	0	0	0	0	0	0	0	0.849805034798334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.80952380952381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv76	0	0	-0.785714285714286	0.857142857142857	0	0	-0.80952380952381	-0.785714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.761904761904762	0	0	0	0	0	0.785714285714286	0	-0.738095238095238	0	-0.785714285714286	0	0	0	0	0	0	0	0	0.714285714285714	0	0	0	0.904761904761905	0	0.904761904761905	0	0.714285714285714	0	0	0	-0.761904761904762	0	0.785714285714286	0	-0.833333333333333	0	0.833333333333333	0.761904761904762	0	0	0	0	0	0	0	0	0.761019434147762	0	0	0	0	0.786386748619354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.952380952380952	0	-0.738095238095238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.761904761904762	0	0	0	0	0	-0.80952380952381	0	0	0	0	0	0	0	0	0	0	0	0	-0.738095238095238	0	0	0	0	0	0	0	0	0	0	0	-0.714285714285714	0	0	0	0	-0.904761904761905	0	0	0	0	0	0	0	0	0	0.7319250547114	0.874267171196679	0	0	0	0	0	0	0.7319250547114	0	0	0	0.778457070243618	0	0	0	0	0	0	0	0	-0.880952380952381	0	0	0.902707567477393	0	0	0	0	0	0	0	0	0	0.709208143266975	0.735652119676169	0	0	0	0	0	0	0	0	0.709208143266975	0	0.79907040585515	0	0	0	0	0	0	0	0	0	0	0.709208143266975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.833333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.880952380952381	0	0	0	0	0	0	0	0	0	0	0.80952380952381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.80952380952381	0	0	0	0	0	0	0	0.952380952380952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.80952380952381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.837121377562538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.804524874676105	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.880952380952381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.738095238095238	0	0	0	0	0	0	0	-0.928571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.738095238095238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.849805034798334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.817295110782075	0	0	0	0	0	0	0	0	0	0	0	0	0
