	BACasv1	BACasv3	BACasv4	BACasv7	BACasv8	BACasv11	BACasv12	BACasv13	BACasv14	BACasv17	BACasv20	BACasv21	BACasv22	BACasv23	BACasv24	BACasv25	BACasv27	BACasv28	BACasv29	BACasv30	BACasv31	BACasv32	BACasv33	BACasv35	BACasv36	BACasv37	BACasv38	BACasv39	BACasv40	BACasv41	BACasv42	BACasv45	BACasv46	BACasv47	BACasv48	BACasv49	BACasv50	BACasv53	BACasv54	BACasv56	BACasv58	BACasv60	BACasv61	BACasv65	BACasv67	BACasv69	BACasv70	BACasv71	BACasv73	BACasv76	BACasv77	BACasv78	BACasv80	BACasv87	BACasv89	BACasv90	BACasv92	BACasv93	BACasv94	BACasv96	BACasv99	BACasv100	BACasv101	BACasv102	BACasv105	BACasv106	BACasv112	BACasv113	BACasv114	BACasv118	BACasv120	BACasv123	BACasv124	BACasv128	BACasv129	BACasv139	BACasv140	BACasv143	BACasv145	BACasv146	BACasv148	BACasv153	BACasv154	BACasv156	BACasv168	BACasv173	BACasv175	BACasv176	BACasv177	BACasv182	BACasv183	BACasv187	BACasv188	BACasv192	BACasv194	BACasv195	BACasv207	BACasv212	BACasv213	BACasv221	BACasv236	BACasv237	BACasv251	BACasv257	BACasv261	BACasv267	BACasv268	BACasv276	BACasv285	BACasv288	BACasv295	BACasv305	BACasv316	BACasv317	BACasv324	BACasv331	BACasv352	BACasv374	BACasv389	BACasv413	BACasv421	BACasv426	BACasv440	BACasv442	BACasv450	BACasv451	BACasv455	BACasv489	BACasv492	BACasv514	BACasv522	BACasv562	BACasv579	BACasv580	BACasv581	BACasv597	BACasv620	BACasv644	BACasv672	BACasv708	BACasv889	BACasv890	BACasv986
BACasv20	0	1	0	0	1	1	1	1	0	0	0	0	1	1	0	0	0	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0	1	1	0	0	1	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0
BACasv21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv22	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0	1	1	0	0	1	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0
BACasv23	0	1	0	0	1	1	1	1	0	0	1	0	1	0	0	0	0	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0	1	1	0	0	1	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0
BACasv24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv25	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv27	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv28	0	1	0	0	1	1	1	1	0	0	1	0	1	1	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0	1	1	0	0	1	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0
BACasv29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv30	0	1	0	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0	1	1	0	0	1	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0
BACasv31	0	1	0	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0	1	1	0	0	1	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0
BACasv32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv36	0	1	0	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0	1	1	0	0	1	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0
BACasv37	0	1	0	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0	1	1	0	0	1	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0
BACasv38	0	1	0	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0	1	1	0	0	1	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0
BACasv39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv41	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv46	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv48	0	1	0	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0	1	1	0	0	1	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0
BACasv49	0	1	0	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0	1	1	0	0	1	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0
BACasv50	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
BACasv58	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv60	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
