source	target	weight	correlation
FUNasv2	FUNasv5	0.904761904761905	0.904761904761905
FUNasv2	FUNasv6	0.714285714285714	0.714285714285714
FUNasv2	FUNasv11	0.778457070243618	-0.778457070243618
FUNasv2	FUNasv12	0.833333333333333	0.833333333333333
FUNasv2	FUNasv14	0.928571428571429	0.928571428571429
FUNasv2	FUNasv24	0.857142857142857	-0.857142857142857
FUNasv2	FUNasv30	0.785714285714286	0.785714285714286
FUNasv2	FUNasv32	0.904761904761905	0.904761904761905
FUNasv2	FUNasv34	0.976190476190476	0.976190476190476
FUNasv2	FUNasv38	0.833333333333333	0.833333333333333
FUNasv2	FUNasv40	0.738095238095238	0.738095238095238
FUNasv2	FUNasv44	0.904761904761905	-0.904761904761905
FUNasv2	FUNasv45	0.910195959054077	0.910195959054077
FUNasv2	FUNasv49	0.975900072948533	0.975900072948533
FUNasv2	FUNasv51	0.714285714285714	-0.714285714285714
FUNasv2	FUNasv52	0.904761904761905	-0.904761904761905
FUNasv2	FUNasv62	0.761904761904762	0.761904761904762
FUNasv2	FUNasv63	0.880952380952381	0.880952380952381
FUNasv2	FUNasv68	0.80952380952381	0.80952380952381
FUNasv2	FUNasv75	0.833333333333333	-0.833333333333333
FUNasv2	FUNasv85	0.714285714285714	0.714285714285714
FUNasv2	FUNasv86	0.761904761904762	0.761904761904762
FUNasv2	FUNasv87	0.714285714285714	0.714285714285714
FUNasv2	FUNasv88	0.778457070243618	0.778457070243618
FUNasv2	FUNasv89	0.952380952380952	-0.952380952380952
FUNasv2	FUNasv91	0.785714285714286	-0.785714285714286
FUNasv2	FUNasv102	0.761904761904762	0.761904761904762
FUNasv2	FUNasv132	0.880952380952381	-0.880952380952381
FUNasv2	FUNasv143	0.761019434147762	-0.761019434147762
FUNasv2	FUNasv146	0.874267171196679	0.874267171196679
FUNasv2	FUNasv182	0.785714285714286	-0.785714285714286
FUNasv2	FUNasv207	0.838338383339281	-0.838338383339281
FUNasv2	FUNasv224	0.785714285714286	-0.785714285714286
FUNasv2	FUNasv230	0.95150257112482	0.95150257112482
FUNasv2	FUNasv254	0.738095238095238	0.738095238095238
FUNasv2	FUNasv301	0.938590635448906	-0.938590635448906
FUNasv5	FUNasv11	0.922172221673209	-0.922172221673209
FUNasv5	FUNasv12	0.738095238095238	0.738095238095238
FUNasv5	FUNasv14	0.976190476190476	0.976190476190476
FUNasv5	FUNasv24	0.904761904761905	-0.904761904761905
FUNasv5	FUNasv29	0.714285714285714	-0.714285714285714
FUNasv5	FUNasv30	0.738095238095238	0.738095238095238
FUNasv5	FUNasv32	1	1
FUNasv5	FUNasv34	0.928571428571429	0.928571428571429
FUNasv5	FUNasv38	0.738095238095238	0.738095238095238
FUNasv5	FUNasv40	0.785714285714286	0.785714285714286
FUNasv5	FUNasv44	0.761904761904762	-0.761904761904762
FUNasv5	FUNasv45	0.958101009530607	0.958101009530607
FUNasv5	FUNasv49	0.87831006565368	0.87831006565368
FUNasv5	FUNasv51	0.80952380952381	-0.80952380952381
FUNasv5	FUNasv52	0.857142857142857	-0.857142857142857
FUNasv5	FUNasv62	0.80952380952381	0.80952380952381
FUNasv5	FUNasv63	0.785714285714286	0.785714285714286
FUNasv5	FUNasv68	0.714285714285714	0.714285714285714
FUNasv5	FUNasv75	0.785714285714286	-0.785714285714286
